title,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime
Ranjang yang Ternoda,1994,,Drama,,5.6,14,Indonesian,Norman Benny,"['Inneke Koesherawati', 'Gitty Srinita', 'Dicky Wahyudi', 'Hendro Tangkilisan', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Saya Duluan Dong,1994,,,,5.9,18,Indonesian,Arizal,"['Rara Azis', 'H.I.M. Damsyik', 'Ingrid M.P. Kansil', 'Simon P.S.', 'Diah Permatasari', 'Ike Rachmawati', 'Gitty Srinita', 'Dono Warkop', 'Indro Warkop', 'Kasino Warkop', nan, nan, nan, nan, nan]",83 min
Setetes Noda Manis,1994,"Dewi after three years in Germany, re-meet with Edo in a discotheque. Despite never communicating, Edo is still in love with Dewi. However, Dewi prefers Rony, a close friend of Edo who was ...",Drama,,7.5,8,Indonesian,Maman Firmansyah,"['Inneke Koesherawati', 'Reynaldi', 'Zainal Abidin', 'Ida Kusumah', 'Mien Brodjo', 'Ade Faizal', 'Fransisca', 'Sabar P. Sharif', 'Hendro Tangkilisan', 'Rieke Dyah Pitaloka', 'Gatot Suyitno', nan, nan, nan, nan]",
Si Kabayan Mencari Jodoh,1994,,Comedy,,4.7,6,Indonesian,Maman Firmansyah,"['Didi Petet', 'Novi Gawatini', 'Rachmat Hidayat', 'Desy Ratnasari', 'Sena Utaya', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",85 min
Surat Untuk Bidadari,1994,,Drama,,6.8,40,Indonesian,Garin Nugroho,"['Nurul Arifin', 'Hotalili', 'Ibrahim Ibnu', 'Fuad Idris', 'Adi Kurdi', 'Jajang C. Noer', 'Monica Oemardi', 'Viva Westi', 'Windy', nan, nan, nan, nan, nan, nan]",118 min
Wanita Dalam Gairah,1994,,Crime,D,6.6,10,Indonesian,H. Tjut Djalil,"['Inneke Koesherawati', 'Andy Jufri', 'Rara Azis', 'Ariel Prakasa', 'Rika Herliana', 'Ana', 'Rosalina', 'Shanty Cameron', 'Donald Sondak', 'Sentot', 'Edi Disel', 'Panji', 'Yance', 'Eka Nugroho', 'Lili Nugroho']",68 min
Badut-Badut Kota,1993,,Comedy,,7.9,7,Indonesian,Ucik Supra,"['Dede Yusuf', 'Ayu Azhari', 'Sofyan Sharna', 'Rahman Yacob', 'Ami Priyono', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Gairah Malam,1993,,Drama,,5.1,14,Indonesian,,"['Ariel Prakasa', 'Malfin Shayna', 'Devi Permatasari', 'Adam Jordan', 'Andy Susie', 'Cindy Lasut', 'Harry Dagoe', 'Vera Susana', 'Buce Abubakar', 'S. Naryo Hadi', 'Arifin', nan, nan, nan, nan]",60 min
Mumpung Ada Kesempatan,1993,,,,5.0,5,Indonesian,Arizal,"['M. Amin', 'Ayu Azhari', 'Susy Bolle', 'John Iskandar', 'Kadir', 'Marno Kasno', 'Cut Keke', 'Sarah Rubiyandi', 'Doyok Sudarmadji', 'Tarzan', nan, nan, nan, nan, nan]",85 min
Oeroeg,1993,"Johan Ten Berghe joins the Dutch army when the Dutch East Indies unilaterally declare independence as Indonesia. He initiates his naive driver Twan in life in the East, having grown up ...",Drama,,6.7,372,Dutch,Hans Hylkema,"['Jeroen Krabbé', 'Rik Launspach', 'Martin Schwab', 'Ramelan Bekkema', 'Peter Faber', 'Tom Van Bauwel', 'Joris Putman', 'François Beukelaers', 'Tom Jansen', 'José Rizal Manua', 'Chris Tates', 'Marcel Musters', 'Patrick Kerkhof', 'Ayu Azhari', 'Marjon Brandsma']",
Rage and Honor II,1993,"Kris and Preston team up once again to take on powerful gangster Buntao. But, Buntao has problems of his own, dealing with Dazo, another gangster who is on a steady rise to power.",Action,R,5.4,397,English,Guy Norris,"['Cynthia Rothrock', 'Richard Norton', 'Patrick Muldoon', 'Frans Tumbuan', 'Ron Vreeken', 'Alex Tumundo', 'John J. Soucy', 'Tanaka', 'Yenny Farida', 'Daniel Cobb', 'Donald Paul Pemrick', 'Don Balfour', 'Graham Stumpf', 'Glenn Ruehland', 'John P. Melfi']",98 min
Susuk Nyi Roro Kidul,1993,,Fantasy,,5.0,8,Indonesian,Azwar An,"['Sally Marcellina', 'Windy Chindyana', 'Ayu Yohana', 'Sonny Dewantara', 'Rendhy Recky', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Angel of Fury,1992,A security specialist (Nancy Bolan) is hired to deliver a valuable computer. She is joined by her former lover who has plans of his own for the computer.,Action,R,4.2,253,Indonesian,Ackyl Anwari,"['Cynthia Rothrock', 'Chris Barnes', ""Peter O'Brian"", 'Zainal Abidin', 'August Melasz', 'Minati Atmanegara', 'Jureck Klyne', 'Roy Marten', 'Kiki Amir', 'Jack Maland', 'Tanaka', 'Robby Sutara', 'Karen Sukarno', 'Hamid Sopeng', 'Eddy Hansudi']",
Bibir Mer,1992,"Maria, who is disappointed with her boyfriend, Jodi , goes to work in a salon where she uses her ability to chat and interact with a good socially as a great advantage to keep customers lined up.",Comedy,D,7.2,9,Indonesian,Arifin C. Noer,"['Bella Esperance', 'Fadli', 'Galeb Husein', 'Jajang C. Noer', 'Tio Pakusadewo', 'Imam S. Wungkul', nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Cinta Dalam Sepotong Roti,1992,,Drama,,6.7,43,Indonesian,Garin Nugroho,"['Adjie Massaid', 'Monica Oemardi', 'Tio Pakusadewo', 'Rizky Teo', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Kembalinya Si Janda Kembang,1992,"Thanks to a cursed Egyptian ring, a murdered unfaithful wife returns as a ghost to seduce and kill men.",Horror,,5.6,7,Indonesian,Sisworo Gautama Putra,"['Sally Marcellina', 'H.I.M. Damsyik', 'Ibrahim Asyhari', 'Diana Dewi', 'Eddy Gunawan', 'Nyoman Ayu Lenora', 'Ashysta Ratih', 'Netta Sri Suprapti', nan, nan, nan, nan, nan, nan, nan]",92 min
Lady Dragon,1992,"An ex-CIA agent (Kathy Gallagher) living in Indonesia tracks Ludvig Hauptman, the arms dealer who killed her husband. Along the way, she meets a young boy and his grandfather, who teach her in the ways of the Lady Dragon.",Action,R,5.2,470,English,David Worth,"['Cynthia Rothrock', 'Richard Norton', 'Robert Ginty', 'Bella Esperance', 'Hengky Tornando', 'Thomas Forcher', 'Pitradjaya Burnama', 'Advent Bangun', 'Diaz Tangkilisan', 'H.I.M. Damsyik', 'Henry Surentu', 'Syarief Friant', 'Edward Rehwinkle', 'Sam S.', 'Tanaka']",97 min
Masuk Kena Keluar Kena,1992,,Comedy,,6.8,35,Indonesian,Arizal,"['Dono Warkop', 'Kasino Warkop', 'Sally Marcellina', 'Kiki Fatmala', 'H. Tile', 'Diding Boneng', 'Fortunella', 'Simon Pesas', 'Robert Syarif', 'Tile', 'Indro Warkop', nan, nan, nan, nan]",88 min
Olga dan Sepatu Roda,1992,,Comedy,,7.1,9,Indonesian,Achiel Nasrun,"['Nike Ardilla', 'Alba Fuad', 'Tino Karno', 'Ida Kusumah', 'Jack Maland', 'Mandra', 'Ami Priyono', 'Desy Ratnasari', 'Etty Sumiati', nan, nan, nan, nan, nan, nan]",90 min
Salah Masuk,1992,,Comedy,,6.7,24,Indonesian,Arizal,"['Fortunella', 'Tarida Gloria', 'Anton Indracaya', 'Angel D. Memah', 'Simon P.S.', 'Gitty Srinita', 'Tile', 'Dono Warkop', 'Indro Warkop', 'Kasino Warkop', 'Simon Wood', nan, nan, nan, nan]",88 min
Skandal Iblis,1992,A female archaeologist is possessed by an evil spirit from an old necklace.,Horror,,6.6,9,Indonesian,H. Tjut Djalil,"['Lela Anggraini', 'Eddy Gunawan', 'Ranieta Manopo', 'Emri Margono', 'Johan Saimima', 'Gitty Srinita', 'Teguh Yulianto', nan, nan, nan, nan, nan, nan, nan, nan]",86 min
Ajian Ratu Laut Kidul,1991,Magician Anggoro mangles sorceress Lestari and banishes her to the woods. She becomes suicidal until Ki Jagasatru comes from the South Seas with a recipe for revenge.,Drama,,6.2,15,Indonesian,Sisworo Gautama Putra,"['Ratu Dhenok', 'Syarief Friant', 'Karsiman Gada', 'Johny Indo', 'Tino Karno', 'Clift Sangra', 'Rita Sheba', 'Hamid Sopeng', 'Suzzanna', 'Erfan Yuda', nan, nan, nan, nan, nan]",
Bisa Naik Bisa Turun,1991,,Comedy,,7.3,27,Indonesian,Arizal,"['Dono Warkop', 'Kasino Warkop', 'Indro Warkop', 'Diding Boneng', 'Kiki Fatmala', 'Lydia Febriani', 'Fortunella', 'Fujiyanti', 'Inneke Koesherawati', 'Yoga Pratama', 'Fritz G. Schadt', 'Gitty Srinita', 'Tile', nan, nan]",
Catatan Si Boy 5,1991,"Boy (Onky Alexander) after finishing his lecture, trying to build a business in San Francisco. There, he has a beautiful boss named Sheena (Sophia Latjuba), who secretly also has a crush on...",Drama,,6.2,13,Indonesian,Nasri Cheppy,"['Onky Alexander', 'Didi Petet', 'Paramitha Rusady', 'Sophia Latjuba', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",88 min
Double Crosser,1991,,Action,,6.8,31,Indonesian,Arizal,"['Kiki Amir', 'Didier A. Hamel', 'Ricky Hosada', 'Gino Makasutji', 'August Melasz', ""Peter O'Brian"", 'Priscilla Patsy', 'Robby Sutara', nan, nan, nan, nan, nan, nan, nan]",85 min
Gadis Metropolis,1991,,Drama,,7.6,9,Indonesian,Bobby Sandy,"['Sally Marcellina', 'Inneke Koesherawati', 'Febby Lawrence', 'Alex Kembar', 'James Sahertian', 'Baby Silvia', 'Gugun Benget', 'Pitradjaya Burnama', 'Teddy Mala', 'Piet Pagau', 'Luthi Tambayong', nan, nan, nan, nan]",
Makhluk dari Kubur,1991,,Horror,,5.8,10,Indonesian,S.A. Karim,"['Hendra Cipta', 'Yenny Farida', 'Muni Cader', 'Jack Maland', 'Bokir', 'Eddy Riwanto', 'Mang Diman', 'Rengga Takengon', 'Idjah Bomber', 'Tien Kadaryono', 'Lela Anggraini', 'Illa Doth', 'Dyne Puspita', 'Umar Hasby', 'Rina Hasyim']",72 min
Misteri Janda Kembang,1991,A girl returns from the dead to gain her revenge on a gang of thugs that raped and murdered her.,Horror,,4.9,9,Indonesian,H. Tjut Djalil,"['H.I.M. Damsyik', 'Fujiyanti', 'Sally Marcellina', 'Emri Margono', 'Simon P.S.', 'Teddy Prangi', nan, nan, nan, nan, nan, nan, nan, nan, nan]",86 min
Nada dan Dakwah,1991,,Drama,,5.0,7,Indonesian,Chaerul Umam,"['Zainal Abidin', 'Ida Iasha', 'Rhoma Irama', 'Zainnuddin M.Z.', 'Deddy Mizwar', 'Nani Widjaja', nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Perjanjian di Malam Keramat,1991,A greedy businessman wants a promotion so bad he arranges for a work rival and his entire family to be murdered. The wife / mother then returns as a vengeful ghost armed with a steel-clawed gloved.,Horror,,5.6,21,Indonesian,Sisworo Gautama Putra,"['Anita Anjani', 'Alex Bernard', 'Malino Djunaedy', 'Yongki Dp', 'Elly Ermawati', 'Yenny Farida', 'Syarief Friant', 'Tino Karno', 'Piet Pagau', 'Clift Sangra', 'Suzzanna', 'Rengga Takengon', nan, nan, nan]",82 min
Pesta,1991,"A number of teenagers meet at Wendy's birthday party (Paramitha Rusady), daughter of a conglomerate. Since the party, Wendy is close to Jefry (Ari Wibowo) who recently moved to Jakarta from...",Drama,,6.2,8,Indonesian,Edward Sirait,"['Minati Atmanegara', 'Desy Ratnasari', 'Paramitha Rusady', 'Chris Salam', 'Remy Sylado', 'Jeffry Waworuntu', 'Ari Wibowo', nan, nan, nan, nan, nan, nan, nan, nan]",86 min
Saur Sepuh 4: Titisan Darah Biru,1991,,,,7.7,6,Indonesian,Imam Tantowi,"['Denny Porlen', 'Devi Permatasari', 'Baron Ahmadi', 'Golden Kasmara', 'Agus Kuncoro', 'Aneke Putri', 'Candy Satrio', 'Rita Zahara', nan, nan, nan, nan, nan, nan, nan]",82 min
Si Kabayan dan Anak Jin,1991,,Comedy,,7.9,7,Indonesian,Henky Solaiman,"['Azwar An', 'Nike Ardilla', 'Salim Bungsu', 'Ade Harun', 'Nia Harun', 'Rachmat Hidayat', 'Jef E. Koswara', 'Regi Reygusta Ninda', 'Didi Petet', 'Yetty Syarifah', 'Sena Utaya', nan, nan, nan, nan]",
Sudah Pasti Tahan,1991,,Comedy,,6.7,16,Indonesian,Arizal,"['Pipi Agusta', 'Salim Alkatiri', 'Nurul Arifin', 'Diding Boneng', 'Yunita Sarah Boom', 'Illa Doth', 'Yenny Farida', 'Lydia Febriani', 'Fortunella', 'Anton Indracaya', 'Shirley Malinton', 'Sally Marcellina', 'Angel D. Memah', 'Simon P.S.', 'Tile']",88 min
Taksi,1991,"Desi, a pretty young woman, leaves her baby in a taxi driven by Giyon. After going to the press to seek help in finding Desi, he takes the baby to his home. He soon becomes famous for his ...",Drama,,7.2,29,Indonesian,Arifin C. Noer,"['Meriam Bellina', 'Dorman Borisman', 'Rano Karno', 'Charlie Sahetapy', 'Henky Solaiman', 'Nani Widjaja', nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Taksi 2,1991,,Drama,,5.4,9,Indonesian,Ismail Soebardjo,"['Meriam Bellina', 'Rano Karno', 'Ayu Azhari', 'Onky Alexander', 'Rachmat Hidayat', 'Pitradjaya Burnama', 'Ida Kusumah', 'Firdha Razak', 'Mangara Siahaan', nan, nan, nan, nan, nan, nan]",105 min
Antri Dong,1990,,,,3.8,6,Indonesian,Arizal,"['Nurul Arifin', 'Eva Arnaz', 'Diding Boneng', 'Kiki Fatmala', 'Kadir', 'Lydia Kandou', 'Deddy Mizwar', 'Gitty Srinita', 'Doyok Sudarmadji', nan, nan, nan, nan, nan, nan]",86 min
Blok M,1990,"Lola (Desy Ratnasari) who is lonely at home, forming a gang with three of her female friends. Their activities were to wander around in Blok M which at that time became a miniature of ...",Drama,,7.4,10,Indonesian,Edward Sirait,"['Desy Ratnasari', 'Paramitha Rusady', 'Marwan Alkatiri', 'Torro Margens', 'Lenny Marlina', 'Chris Salam', 'Yoseano Waas', nan, nan, nan, nan, nan, nan, nan, nan]",83 min
Catatan Si Boy 3,1990,,Drama,,6.2,20,Indonesian,Nasri Cheppy,"['Onky Alexander', 'Meriam Bellina', 'Bella Esperance', 'Ida Kusumah', 'Leroy Osmani', 'Didi Petet', 'Paramitha Rusady', 'Nani Widjaja', nan, nan, nan, nan, nan, nan, nan]",
Forgotten Rules,1990,,Comedy,,7.3,24,Indonesian,H. Tjut Djalil,"['Eva Arnaz', 'Diding Boneng', 'Rini S. Bono', 'Illa Doth', 'Nanang Durachman', 'Yenny Farida', 'Fortunella', 'Intan Fully', 'Emri Margono', 'Leo Adi Slamet', 'Henky Solaiman', 'Heru Sutanto', 'Dono Warkop', 'Indro Warkop', 'Kasino Warkop']",
Guntur tengah malam,1990,,Horror,,5.4,5,Indonesian,A. Rachman,"['Desy Ratnasari', 'Alba Fuad', 'Johan Saimima', 'Alfian', 'Yenny Farida', 'Umar Bani', 'Nawan Djuanda', 'Herman Pero', 'Roni S.', 'Hendro Tangkilisan', nan, nan, nan, nan, nan]",81 min
Jaka Swara,1990,,Action,,7.4,7,Indonesian,Liliek Sudjio,"['Simon Cader', 'Usman Effendy', 'Rhoma Irama', 'Ade Irawan', 'Gino Makasutji', 'Camelia Malik', 'Ferry Octora', 'Piet Pagau', 'M.E. Zainuddin', nan, nan, nan, nan, nan, nan]",
Langitku Rumahku,1990,"This is a story about two boys, Andri and Gempol. Andri is rich, educated but unhappy. Lonely and neglected by his parents, he befriends Gempol whose parents are too poor to send him to ...",Drama,,7.5,31,Indonesian,Slamet Rahardjo,"['Baron Ahmadi', 'Soenaryo Banyu Biru', 'Pitradjaya Burnama', 'Karsiman Gada', 'Zainuddin Idris', 'Moch Landing', 'Andri Sentanu', 'Untung Slamet', 'Soenaryo', 'Soeparmi', 'Wiyono Soewardjo', 'Yati Sumaryo', 'Reynaldo Thamrin', 'Zubaidah', nan]",
Mana Bisa Tahan,1990,,Comedy,,6.7,19,Indonesian,Arizal,"['Zainal Abidin', 'Nurul Arifin', 'Diding Boneng', 'Pitradjaya Burnama', 'Nyoman Ayu Lenora', 'Sally Marcellina', 'Dono Warkop', 'Indro Warkop', 'Kasino Warkop', nan, nan, nan, nan, nan, nan]",85 min
Misteri dari Gunung Merapi,1990,,Action,,5.6,10,Indonesian,Liliek Sudjio,"['Fendy Pradana', 'Ida Iasha', 'Farida Pasha', 'Yurike Prastica', 'Rina Hasyim', 'Baron Hermanto', 'Asrul Zulmi', 'E.K. Soemadinata', 'Piet Pagau', 'Nani Widjaja', 'Simon Cader', 'Sofia Amang', 'Gino Makasutji', 'Yani Arimbi', 'Yoshep Hungan']",
Saur Sepuh 3: Kembang Gunung Lawu,1990,,,,8.2,6,Indonesian,Imam Tantowi,"['Murti Sari Dewi', 'Elly Ermawati', 'Yoshep Hungan', 'Fendy Pradana', 'Aneke Putri', 'Candy Satrio', 'Lam Ting', 'Hengky Tornando', nan, nan, nan, nan, nan, nan, nan]",95 min
Soerabaja '45,1990,,Drama,,8.7,15,Indonesian,Imam Tantowi,"['Usman Effendy', 'Leo Kristi', 'Tuty Kusnendar', 'Juari Sanjaya', 'Nyoman Swadayani', 'Sasetyo Wilutomo', nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Titisan Dewi Ular,1990,,Comedy,,5.5,13,Indonesian,Sisworo Gautama Putra,"['Suzzanna', 'Jeffry Waworuntu', 'Ade Irawan', 'Muni Cader', 'Doddy Sukma', 'Bokir', 'Devi Ivonne', 'Devi Sabah', 'Yana Achbarie', 'Rahmat Kartolo', 'Susi Sunaryo', 'Simon P.S.', nan, nan, nan]",
American Hunter,1989,A lethal hunter of bad guys tries to retrieve a microfilm containing information that would cause a Wall Street panic and an economic crisis for Western governments.,Action,,6.5,123,Indonesian,Arizal,"['Christopher Mitchum', 'Bill Wallace', 'Ida Iasha', 'Mike Abbott', 'Roy Marten', ""Peter O'Brian"", 'August Melasz', 'Chandra Leo', 'Atin Martino', 'Edy S. Jonathan', 'Kiki Fatmala', 'Karen Sukarno', 'Gino Makasutji', 'Yongky', 'Rengga Takengon']",92 min
Istana Kecantikan,1989,"Niko, a gay man, is forced by rumours about his sexuality to marrie the pregnant Lita who was deserted by a mutual friend. The couple's sexlife doesn't amount to much and their relationship...",Drama,,5.9,9,Indonesian,Wahyu Sihombing,"['Soendjoto Adibroto', 'Nurul Arifin', 'Joice Erna', 'Tonny Hidayat', 'Komalasari', 'Udin Labu', 'August Melasz', 'Mathias Muchus', 'Yayuk Sri Rahayu', 'Robby Sutara', nan, nan, nan, nan, nan]",90 min
Joe Turun ke Desa,1989,,Adventure,,5.8,5,Indonesian,Chaerul Umam,"['Meriam Bellina', 'Donny Damara', 'Sylvana Herman', 'Didi Petet', 'Desy Ratnasari', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",94 min
Lebih Asyik Sama Kamu,1989,Two high schools girls fight (sometimes literally) for the attention of the boy they're both in love with.,Comedy,,4.6,8,Indonesian,Arizal,"['Ryan Hidayat', 'Sally Marcellina', 'Paramitha Rusady', 'Gugun Benget', 'Mathias Agus', 'Zul Bahar', 'Aminah Cendrakasih', 'Jumadi', 'Ida Kusumah', 'Sukarsih', 'Rigo Sulaiman', 'Yan Tarmizi', 'Yani Timoer', 'Dongky Wardoyo', nan]",
Lupus III,1989,,,,6.7,7,Indonesian,Edi Siswanto,"['Gusur Adhikarya', 'Boim', 'Gito Gilas', 'Hilman Hariwijaya', 'Sylvana Herman', 'Rima Melati', 'Deddy Mizwar', 'Ita Purnamasari', 'Mangara Siahaan', 'Wina Widyawati', nan, nan, nan, nan, nan]",
Musnahkan Ilmu Santet,1989,"After he new husband and father are murdered, Hindun seeks help from a Santet (black magic) Queen. Due to the Santet Queen's influence, Hindun becomes possessed and goes on a vengeance-fueled killing spree.",Horror,,3.8,6,Indonesian,Maman Firmansyah,"['Joice Erna', 'Hengky Tornando', 'Rudy Salam', 'Devi Ivonne', 'Bung Salim', 'Dorman Borisman', 'Mandra', 'Jack Maland', 'Belkiez Rachman', 'Gino Makasutji', 'K. Arief Raduma', 'H.M. Firmansjah', 'Eva Chitra Rosalina', 'Meiske', nan]",74 min
Pacar Ketinggalan Kereta,1989,,Drama,,7.5,11,Indonesian,Teguh Karya,"['Ayu Azhari', 'Rachmat Hidayat', 'Niniek L. Karim', 'Alex Komang', 'Tuti I. Malaon', 'Camelia Malik', 'Piet Pagau', 'Didi Petet', 'Nani Vidia', 'Rita Zahara', nan, nan, nan, nan, nan]",139 min
Pembalasan Ratu Pantai Selatan,1989,"The spirit of an ancient evil queen posesses the body of a young anthropological student, who then goes on a murderous rampage.",Action,Unrated,5.6,"1,483",Indonesian,H. Tjut Djalil,"['Barbara Anne Constable', 'Christopher J. Hart', 'Claudia Angelique Rademaker', 'Joseph P. McGlynn', 'Adam Stardust', 'Ikang Fawzi', nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Sabar Dulu Dong...!,1989,"Dono, Kasino, Indro and two female friends they Winny (Eva Arnaz) and Anita (Anna Shirley) managed to turn an old hotel and the ugly becomes feasible. The hotel management is the source of ...",Comedy,,7.1,22,Indonesian,Ida Farida,"['Eva Arnaz', 'Anna Shirley', 'Tile', 'Dono Warkop', 'Indro Warkop', 'Kasino Warkop', nan, nan, nan, nan, nan, nan, nan, nan, nan]",81 min
Saur Sepuh 2: Pesanggrahan Keramat,1989,,Action,,7.9,8,Indonesian,Imam Tantowi,"['Murti Sari Dewi', 'Elly Ermawati', 'Yoshep Hungan', 'Fendy Pradana', 'Aneke Putri', 'Lam Ting', 'Hengky Tornando', nan, nan, nan, nan, nan, nan, nan, nan]",
Tarzan Raja Rimba,1989,,Adventure,,6.0,7,Indonesian,Ackyl Anwari,"['Barry Prima', 'Ziela Jalil', 'Johari Zain', 'Yoshep Hungan', 'Yurike Prastica', 'Machfud Abud', 'Alex Bernard', 'Panji Dharma', 'Yongki Dp', 'El Koesno', 'Donny Sabella', 'Rama Soedin', 'Joes Terpase', 'Rudy Wahab', 'Tonny Yusuf']",
Wanita Harimau,1989,,Horror,,4.6,12,Indonesian,Sisworo Gautama Putra,"['Lela Anggraini', 'H. Kosim Betawi', 'Bokir', 'Rina Hasyim', 'I. Gusti Jagat Karana', 'Nasir', 'Simon P.S.', 'Nenny Ribut Rawit', 'Leo Shonarna', 'Arbie Soetama', 'Doddy Sukma', 'Suzzanna', 'Mat Tuyul', 'S. Wadhy', 'Jeffry Waworuntu']",
Arini II,1988,"Nick and Arini finally marry despite their big age difference that leads to conflicts. Nick and Arini try to cope, and even decide to see a psychiatrist. Meanwhile, Ella, Arini's child from...",,,7.1,7,Indonesian,Wim Umboh,"['Joice Erna', 'Rano Karno', 'Ida Iasha', 'Rima Melati', 'Rico Tampatty', 'Vivi Samodro', 'Sofia Amang', 'Yani Maslian', 'Rani Soraya', 'Doddy Sukma', 'Asrul Wiyono', 'Asrul Zulmi', nan, nan, nan]",
Catatan Si Boy 2,1988,,Drama,,6.9,27,Indonesian,Nasri Cheppy,"['Onky Alexander', 'Venna Melinda', 'Dede Yusuf', 'Meriam Bellina', 'Diding Boneng', 'Illa Doth', 'Faradina', 'Boy Iskak', 'Btari Karlinda', 'Ida Kusumah', 'Melissa Noor', 'Tio Pakusadewo', 'Didi Petet', 'Baf Sjamsuddin', 'Doddy Sukma']",
Diamond Run,1988,"Back alleys are home to Nicky, who handles women and his fists with equal style. When he unknowingly sets up his girlfriend in an assassination plot, she escapes, only to become the ...",Action,R,4.3,20,English,Robert Chappell,"['Ayu Azhari', 'Peter Bodzek', 'Peter Fox', 'Ava Lazar', 'Rima Melati', 'William Bell Sullivan', 'David Thornton', 'Frans Tumbuan', nan, nan, nan, nan, nan, nan, nan]",
Elegi Buat Nana,1988,,Drama,,6.3,6,Indonesian,Achiel Nasrun,"['Ria Irawan', 'Cornelia Agatha', 'R. Adi Bagus', 'Lia Caroline', 'Gito Gilas', 'Rina Hasyim', 'Ryan Hidayat', 'W.D. Mochtar', 'Andreas Pancarian', 'Henny Rahayu', 'Desy Ratnasari', 'Lauren Sahertian', 'Didin Syamsudin', nan, nan]",97 min
Irisan-Irisan Hati,1988,,Drama,,6.9,8,Indonesian,Djun Saptohadi,"['Baharuddin Haji Omar', 'Christine Hakim', 'Tiara Jacquelina', 'Taufik Kang', 'Deddy Mizwar', 'Peggy Ng', nan, nan, nan, nan, nan, nan, nan, nan, nan]",106 min
Jakarta,1988,A CIA agent roams the streets of New York haunted by the death of the beautiful woman he fell in love with while on assignment in Jakarta.,Action,R,4.7,123,English,Charles Kaufman,"['Chris Noth', 'Suzee Pai', 'Frans Tumbuan', 'Ronald Hunter', 'Zoraya Perucha', 'D.J. Sharp', 'David Gale', 'Doyok Sudarmadji', 'Judith Cohen', ""Mick O'Rourke"", 'Elizabeth Burrelle', 'Farryl Lovett', 'Henky Nero', 'H. Kosim Betawi', 'Rengga Takengon']",
Jodoh Boleh Diatur,1988,,Comedy,,7.0,19,Indonesian,Ami Priyono,"['Raja Ema', 'Dono Warkop', 'Mr. Os', 'Ira Wibowo', 'Kasino Warkop', 'Indro Warkop', 'Yurike Prastica', 'Nia Zulkarnaen', 'Yusni Jaafar', 'Zakky Rinaldy', nan, nan, nan, nan, nan]",
Lukisan Berlumur Darah,1988,"A school teacher and his wife relocate to Indonesia and move into a new home, only to discover the former owner had been killed by burglars and now the place is haunted.",Horror,,5.0,5,Indonesian,Torro Margens,"['Tiara Jacquelina', 'Dharma Harun Al-Rashid', 'Yurike Prastica', 'Piet Pagau', 'Abdi Wiyono', 'Yoshep Hungan', 'Hamza Wahid', 'Arman Arroisi', 'Ari Sanjaya', 'Hesti Syani', 'Moch Riska', nan, nan, nan, nan]",86 min
Perawan Rimba,1988,Women escape from brutal prison.,Action,Not Rated,4.4,89,Indonesian,Danu Umbara,"['Lydia Kandou', 'Harry Capri', 'Enny Beatrice', 'Pitradjaya Burnama', 'Nena Rosier', 'Torro Margens', 'Rita Zahara', 'Mintarsih Maulana', 'Mat Solar', 'Malino Djunaedy', 'H.I.M. Damsyik', 'Eddy Hansudi', 'Simon P.S.', 'Jeffry Sani', 'Sherly Sarita']",93 min
Permainan Dibalik Tirai,1988,Villain Bogart and his army of pirates invade a village and kill all the men and women they come across. They cap off the invasion by decapitating the village leader Gundala in front of ...,Adventure,,4.3,9,Indonesian,Maman Firmansyah,"['Mike Abbott', 'Atut Agustinanto', 'Nina Anwar', 'Tisna S. Brata', 'Lina Budiarty', 'Kiki Fatmala', 'Alba Fuad', 'Intan Fully', 'Baron Hermanto', 'Jureck Klyne', 'Vera Magdalena', 'W.D. Mochtar', 'Tatiek Wardiono', nan, nan]",
Santet,1988,,Horror,,5.1,18,Indonesian,Sisworo Gautama Putra,"['Suzzanna', 'Joice Erna', 'K. Arief Raduma', 'Busiti', 'Dorman Borisman', 'Karsiman Gada', 'Belkiez Rachman', 'Arbie Soetama', 'Yulie Soleh', 'Novie Chandra', 'H. Soemarsono', 'Bokir', 'Tony Damanik', 'H.I.M. Damsyik', 'I. Gusti Jagat Karana']",
Saur Sepuh: Satria Madangkara,1988,,Action,,7.5,26,Indonesian,Imam Tantowi,"['Murti Sari Dewi', 'Elly Ermawati', 'Baron Hermanto', 'Fendy Pradana', 'Aneke Putri', 'Hengky Tornando', nan, nan, nan, nan, nan, nan, nan, nan, nan]",
