Date,Headline,Conflict Type,Country,Region,Description,Sources
2015,Islamic State cuts off irrigation water,Weapon,Iraq,Western Asia,"Following the capture of Ramadi Dam, the Islamic State cuts water for irrigation systems and treatment plants in the predominantly Shiite downstream provinces of Babil, Karbala, Najaf and Qadisiya, threatening Iraqi food production.",UN Security Council 2017
2015,Islamic State captures Tharthar Dam on the Tigris River,"Casualty, Weapon",Iraq,Western Asia,"The Islamic State attacks and successfully captures Tharthar Dam near Fallujah, on the Tigris River in Anbar province, Iraq. The attack leaves 127 Iraqi soldiers dead. After capturing the dam, the fighters open at least one floodgate, affecting downstream communities.",Sabah and Alwan 2015
2015,Water plant in Colombia severely damaged in attack,Casualty,Colombia,Latin America and the Ca,"A water plant near Algeciras, Colombia is severely damaged from an explosive, leaving approximately 13,000 people without services. The Revolutionary Armed Forces of Colombia (FARC) rebels are blamed for the attack. This attack on infrastructure comes after several other similar attacks on electrical plants and towers.",Naharnet Newsdesk 2015
2015,Philippine town loses access to water after pipeline is bombed.,Casualty,Philippines,Southeast Asia,A predominantely Muslim town in southern Philippines loses access to water after a group known as Abu Sayyaf is suspected in an explosion that damaged local water pipes. This group is said to be linked to al-Qaeda and/or at least inspired by al-Qaeda's strategy to attack water infrastructure in Iraq. The affected town is without municipal water for at least several days. In a possibly related incident a person guarding the water facility is killed.,Manilia Bulletin 2015
2015,Water pipe attacked in Egypt,Casualty,Egypt,Northern Africa,"A bomb explodes under a water pipe in al-Rahmaniya village, Abu Kebir, Sharqia governorate, Egypt.",Al-Youm 2015
2015,Soldiers guarding Turkish dam are attacked,Casualty,Turkey,Western Asia,Turkish soldiers guarding a hydroelectric dam are attacked with rockets and long-range gunfire by the Kurdistan Workers' Party (PKK) in the Kulp district of Diyarbakir. One soldier is killed and three wounded.,Agence France-Presse (AFP)  2015d
2015,Explosive devices discovered near water treatment plant in Canada,Casualty,Canada,North America,"Two small explosive devices are discovered near a water treatment plant in Barrie, Canada. No one is injured and no suspects are identified in a report on the incident.",Davidson 2015
2015,Silvan Dam construction site attacked,Casualty,Turkey,Western Asia,"A remotely detonated explosive on a road used for delivering supplies to the Silvan Dam construction site kills one civilian, a child. The bomb is thought to be planted by the Kurdistan Workers' Party (PKK) and targeted at military vehicles.",Daily Sabah Turkey 2015
2015,Cuts in water access trigger protests,Trigger,Egypt,Northern Asia,Residents of Giza block a road to protest ongoing water cuts. Police break up the protest with tear gas.,Hamama and Charbel 2015
2015-2016,Syrian rebel groups cut off water supply to Damascus,"Weapon, Casualty",Syria,Western Asia,"In August 2015, Syrian rebel groups cut off water from a spring in Ain al-Fijah, reducing water output to Damascus by 90 percent for three days and leading to water shortages and rationing. Rebels continue to periodically shut off the supply from the spring, resulting in water shortages in Ain al-Fijah and Damascus. Rebels threaten to blow up the spring if government forces enter the region.",Reznick 2016
2015,A local activist is injured during attempt to observe well digging operation by a private agricultural corporation in Peru,Trigger,Peru,Latin America & the Caribbean,"A local activist in Peru seeking to block corporate agricultural company, Agricola La Venta, from drilling wells is assaulted as she attempts to view a new well.",James 2015
2015,Local farmers burn a water pipe in attempt to stop groundwater pumping,"Trigger, Casualty",Peru,Latin America & the Caribbean,Local farmers in Peru burn a plastic water pipe in an attempt to stop groundwater pumping by a corporate agricultural company Agricola La Venta.,James 2015
2015,Water tank is hit in an air raid in Yemen,Casualty,Yemen,Western Asia,"A water tank is damaged in air raids in Sa'ada District, Saada, Yemen.",Yemen Data Project 2018
2015,Water tank is hit in an air raid in Yemen,Casualty,Yemen,Western Asia,"A water tank is damaged in an air raid in Al-Sab'ein District, Capital, Yemen.",Yemen Data Project 2018
2015,Water tank is hit in an air raid in Yemen,Casualty,Yemen,Western Asia,"A water tank is damaged in an air raid in Craiter District, Aden, Yemen.",Yemen Data Project 2018
2015,Night air raid damages water project in Yemen,Casualty,Yemen,Western Asia,"An air raid damages a water project in Harad District, Hajjah, Yemen.",Yemen Data Project 2018
2015,Water supply well is attacked in Yemen,Casualty,Yemen,Western Asia,"A water supply well attacked in Al-Ashah District, Amran, Yemen.",Yemen Data Project 2018
2015,Water factory is hit in multiple air raids in Yemen,Casualty,Yemen,Western Asia,"The Adhban water factory is hit during three air raids that occured in August, in Sirwah District, Marib, Yemen.",Yemen Data Project 2018
2015,Water trucks are damaged in conflict in Yemen,Casualty,Yemen,Western Asia,"Water trucks are damaged during the conflict in Az Zuhrah District, Al Hudaydah, Yemen.",Yemen Data Project 2018
2015,A water truck is damaged in Yemen,Casualty,Yemen,Western Asia,"A water truck is damaged during the conflict in Amran District, Amran, Yemen",Yemen Data Project 2018
2015,Water project is hit in air raids in Yemen,Casualty,Yemen,Western Asia,"A water project in Majzar District, Marib, Yemen is hit during multiple evening air raids.",Yemen Data Project 2018
2015,Government water storage infrastructure is damaged in Yemen,Casualty,Yemen,Western Asia,"A government-owned water storage unit is damaged in night-time air raids in Dhamar City District, Dhamar, Yemen.",Yemen Data Project 2018
2015,State water utility infrastructure is attacked in Yemen,Casualty,Yemen,Western Asia,"A state run water utility is a casualty to the conflict in Yareem District, Ibb, Yemen.",Yemen Data Project 2018
2015,Irrigation canals are damaged in two attacks in Yemen,Casualty,Yemen,Western Asia,"Two attacks spanning a week in Al-Marawi'ah District, Hudaydah, Yemen leave irrigation canals damaged.",Yemen Data Project 2018
2015,Water infrastructure is attacked in Yemen,Casualty,Yemen,Western Asia,"A water project in Al-Sharyah District, Al Bayda, Yemen is damaged. On the same day in Al-Mahabishah
District, Hajja, water wells are also damaged in an air raid.",Yemen Data Project 2018
2015,Water truck is damaged in Yemen,Casualty,Yemen,Western Asia,"A water truck owned by an oil & gas company is damaged in the conflict in Haydan District, Saada, Yemen.",Yemen Data Project 2018
2015,State water corporation is damaged in Yemen,Casualty,Yemen,Western Asia,"A state water corporation is damaged in the conflict in Yemen, in Shibam Kawkaban District, Al Mahwit, Yemen.",Yemen Data Project 2018
2015,Air raids damage water wells in Yemen,Casualty,Yemen,Western Asia,"Multiple air raids over the course of a week damage water wells in Bakil Al-Mir and Hayran Districts, Hajjah, Yemen.",Yemen Data Project 2018
2015,Air raids damage water infrastructure in Yemen,Casualty,Yemen,Western Asia,"Multiple air raids over the course of two days damage water wells and a water factory in Sihar District, Saada, Yemen.",Yemen Data Project 2018
2015,Water drilling rig is damaged during conflict in Yemen,Casualty,Yemen,Western Asia,"A water drilling rig is damaged in Yemen, in the Haydan District, Saada.",Yemen Data Project 2018
2015,Air raid hits water well in Yemen,Casualty,Yemen,Western Asia,"An early morning air raid hits a water well in Al Mokha District, Taizz, Yemen.",Yemen Data Project 2018
2015,Air raid hits water well in Yemen,Casualty,Yemen,Western Asia,"A water well is damaged during an air raid in Razih District, Saada, Yemen.",Yemen Data Project 2018
2015,Air raid hits water well in Yemen,Casualty,Yemen,Western Asia,"A water well is damaged during an air raid in Mustaba District, Hajjah, Yemen.",Yemen Data Project 2018
2015,Attack of a dam blocked in Iraq,"Casualty, Weapon",Iraq,Western Asia,In early January 2015 military troops in Iraq block an attack by IS militants that is attempting to destroy a dam and block a road connecting Diyala and the Shiite holy city of Sammara.,Xhinua_2015
2016,Hundreds of activists killed,"Trigger, Casualty",Honduras,Latin America and the Ca,"Hundreds of environmental activists in Latin America have been killed in recent years. For example, in 2016, Berta C?ceres -- a prize winning activist working to stop development of the internationally funded Agua Zarca hydroelectric dam on the Gualcarque river -- is murdered after years of death threats and state persecution linked to her campaign. Two of her colleagues have also been killed.","Watts 2016, Lakhani 2017"
2016,Threats to cut off supply of water in northwestern Tunisia,Trigger,Tunisia,Northern Africa,"Residents of Fernana in northwestern Tunisia threaten to cut off the supply of water delivered by a pumping station to the capital, Tunis. They are protesting economic conditions and repeated water cuts that have sparked anger and protests among the local population. At least one death is reported. Water shortages are experienced in Sousse, Nabeul, Sfax, Kef, Siliana, Beja, Sidi Bouzid, Ben Arous, Medenine and Tataouine. Given the increasing number of protests, the Tunisian citizen's water observatory, Watchwater, warns against a possible ""thirst uprising.""",Massy 2016
2016,Scarce water supplies in drought regions of India spark violence,Trigger,India,Southern Asia,"Scarce water supplies in drought-hit regions of India spark violence. As northern and central India suffer thorough severe drought and heat, police in Bundelkhand and several other regions including Tikamgarh are reporting a rise in violent, often deadly clashes over water. Indian police report that the fighting is getting more frequent and bloody, with numerous injuries and deaths reported.",Niazi 2016a
2016,Rioting and looting over energy and water cuts in Venezuela,Trigger,Venezuela,Latin America and the Ca,"Rioting and looting over energy and water cuts leaves fifteen people injured, as severe drought effects on hydropower generation worsen energy availability and economic disruptions. President Maduro blames the crisis on the fall in global oil prices, a drought that has affected hydroelectric power generation, and political factors.",Polaco 2016
2016,Millions of people in Yemen deprived of access to clean water,Casualty,Yemen,Western Asia,Attacks on water and power infrastructure throughout Yemen deprive nearly 20 million people of reliable access to clean water.,Ghobari and Browning 2016
2016,Protests against the building of dams on the Brahmaputra River in India,Trigger,India,Southern Asia,"Protests against the building of dams on the Brahmaputra River in India's Himalayan state of Arunachal Pradesh turns violent, leading to two deaths and additional injuries. Both China and India have put forward plans for nearly 150 dams in the region, with major local opposition.","Third Pole, The 2016"
2016,"Riots over water in Bangalore, India",Trigger,India,Southern Asia,"At least two people die and others are injured in riots over water in Bangalore, India in the state of Karnataka. The unrest starts when the Indian Supreme Court orders Karnataka to release water from dams on the Kaveri river to neighboring Tamil Nadu. Over 400 people were arrested.","Mortimer 2016, Gowen 2016"
2016,Opposition leader killed after opposing threats to land and water,Casualty,South Africa,Sub-Saharan Africa,Environmental activist and opposition leader Sikhosiphi Radebe in South Africa is murdered after opposing industrial mining development that threatened community water and land.,Schneider 2016b
2016,"A severe drought sparked ""water riots"" in Northern KwaZulu-Natal",Trigger,South Africa,Sub-Saharan Africa,"A severe drought in Northern KwaZulu-Natal sparks ""water riots' in the town of Jozini over access to water and in opposition to the installation of water meters. Violence erupts after a community protest, leading to the arrest of 23 people.",Stolley 2016
2016,18 killed and 200 injured after reopening of the Munak canal,"Weapon, Casualty",India,Southern Asia,"At least 18 people are killed and 200 injured after the Indian Army intervenes to reopen the Munak canal, which supplies New Dehli with three-fifths of its freshwater supply. The canal is shut down by economic protests in Harayana state. Sabotage of the canal left more than 10 million people in India's capital, Delhi, without water.",Sethi 2016
2016,Public officials taken hostage after an oil spill polluted local waters,Casualty,Peru,Latin America and the Ca,An indigenous community in the Peruvian Amazon takes at least eight public officials hostage after an oil spill pollutes local water and lands. The Wampis community of Mayuriaga seizes the military helicopter and holds crew members and public officials in concern over inadequate emergency response plans.,Taj 2016
2016,Armed gaurds clash with farmers over drought-struck region of Bundelkhand,Trigger,India,Southern Asia,Armed guards and farmers clash over access to water from Jamunia River at the Bari Ghat Dam in the drought-struck region of Bundelkhand.,"Das 2016, Niazi 2016b"
2016,"Islamic State fighters destroy pipeline that provides water for eastern Mosul, Iraq","Weapon, Casualty",Iraq,Western Asia,"Islamic State fighters cut electricity to pumping stations and destroy a pipeline that provides water for eastern Mosul, Iraq, leaving more than half a million people without water. The group has intentionally cut off water supplies to various neighborhoods, according to a Mosul City Council official responsible for supervising the city's water and energy services.","Tawfeeq and Abdelaziz 2016, Laessing 2016"
2016,Massive opposition to project that threatens Indian heritage and water supplies,Trigger,United States,North America,"Hundreds of people are injured and arrested at protests over the construction of a major oil pipeline that threatens water quality on and near Native American lands. Massive opposition to the project developed in 2016 when the planned route reached the site of a Native American tribe called the Standing Rock Sioux, who say the plans threaten their heritage and local water supplies.",TheJournalie 2016
2016,Intentional attacks on water infrastructure,"Weapon, Casualty",Syria,Western Asia,Control over power and water infrastructure and intentional attacks on that infrastructure are being used as  weapons in the civil war in Syria. Officials estimate there has been a 50 percent reduction in access to safe water in the country since the war began.,Vidal 2016
2016,Stand-off over water rights and use resulting in death,Trigger,United States,North America,"In a standoff over water rights and land use, armed ranchers occupy a federal wildlife refuge in a protest that ends with one death and several arrests.",Wiles 2016
2016,Attack by the Islamic State on Tishreen Dam on the Euphrates River,Casualty,Syria,Western Asia,Islamic State (IS) militants attack the Tishrin Dam on the Euphrates River in Syria. The attack is repelled with airstrikes. The following day a similar attack occurs during which at least 14 IS militants are killed.,Lambert 2016
2016,Water pumping plant attacked in Syria,Casualty,Syria,Western Asia,"A water pumping station is attacked by the Islamic State (IS) in Deir ez-Zor, Syria as part of numerous attacks that leave hundreds of people dead, including Syrian soldiers, IS militia, and civilians.",Latin American Herald Tribune (LAHT) 2016
2016,Water pipeline is bombed in Turkey,Casualty,Turkey,Western Asia,"A water pipeline is the target of an explosive device in Mardin, Turkey.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201604170038
2016,Water wells attacked in Somalia,Casualty,Somalia,Sub-Saharan Africa,Two wells are attacked by militia thought to be part of Al-Shaabab.,National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201605140030
2016,Guard at water well in the Sudan is attacked,Casualty,Sudan,Sub-Saharan Africa,"A guard at water wells in the Um Burma area, Sudan is attacked and severely injured by paramilitaries.",Dabanga 2016
2016,"Disruption of electrical system cuts power to water supply in Damascus, Syria",Casualty,Syria,Western Asia,"Attacks on Syrian electricity transmission stations cut power needed for water pumping to the eastern and western parts of Damascus. Authorities temporarily restore power five days later, but new fighting again cuts water to the city.",UNICEF 2016
2016,Bombs detonated at hydroelectric power plant in East Java,Casualty,Inonesia,Southeast Asia,"Several explosive devices detonate at a hydroelectic power plant in Biltar, East Java, Indonesia.",Jakarta Globe 2016
2016,Attack on a local dam in India,Casualty,India,Southern Asia,"A group of heavily armed militants fire blank rounds of bullets at a dam, creating panic amoung the locals. No casualties are reported.",Nath 2016
2016,Water pipeline is damaged in Pakistan,Casualty,Pakistan,Southern Asia,"A water pipeline is damaged from explosions when it is misidentified as a gas pipeline, disrupting the water supply to a nearby village.",Nation 2016
2016,Islamic State militants raid Great Manmade River Project pumping station,Casualty,Libya,Northern Africa,"Around 60 Islamic State militants raid the Great Manmade River (GMR) project station in Ash Shwayrif, southwest of Sirte. This system provides water to the Libyan Sahara and the northern cities of Benghazi, Sirte, and Tripoli.",UN Security Council 2017
2016-2017,"From late 2016 through early 2017, the water supply in Damascus, Syria is periodically cut when springs outside city are attacke",Casualty,Syria,Western Asia,"Up to four million people in Damascus suffer a loss of water services after springs outside the city are attacked. Water from the Wadi Barada and Ain al-Fija springs, which serve 70 percent of the Syrian capital, is cut off when water infrastructure is deliberately targeted.",Hubbard 2017
2016,"Water shortage led to clashes between two groups in the parched Sehore district, India",Trigger,India,Southern Asia,"Water shortage led to clashes between two groups in the parched Sehore district, India leaving 7 people injured and one critical.",Times of India 2016
2016,Small dam is cyber attacked,Weapon,United States,North America,"U.S. authorities discover that Iranian hackers have successfully infiltrated the control system of a small dam in New York State. Due to work being performed on the dam, the hackers are unable to alter dam operations, however the event exposes the risks of cyberattacks on U.S. infrastructure.",Berger 2016
2016,"Four months after environmental activist Berta Caceres is murdered, her colleague Lesbia Janeth is also murdered for opposing th",Trigger,Honduras,Latin America and the Caribbean,"Four months after internationally known Honduran environmental activist Berta Caceres is murdered, a second woman and environmental activist from the same organization is also murdered in Honduras. The second murdered woman, Lesbia Janeth, was working to stop the construction of a dam in La Paz, Honduras.",Agren 2016
2016,Two desalination plants are hit by air raids in Yemen,Casualty,Yemen,Western Asia,"Air raids damage two desalination plants in Al Mokha and At Ta'iziyah Districts, Taizz, Yemen.",Yemen Data Project 2018
2016,Air raids damage wells in Yemen,Casualty,Yemen,Western Asia,"Five air raids leave wells damaged in Sirwah District, Marib, Yemen.",Yemen Data Project 2018
2016,Soqam dam damaged during air raids in Yemen,Casualty,Yemen,Western Asia,"The Soqam dam in Sirwah District, Marib, Yemen, is damaged during air raids.",Yemen Data Project 2018
2016,Water tank is hit during air raids in Yemen,Casualty,Yemen,Western Asia,"A water tank is hit by air raids in Al-Sab'ein District, Capital, Yemen.",Yemen Data Project 2018
2016,Water tank and pump are damaged by air raids in Yemen,Casualty,Yemen,Western Asia,"A water tank and pump are damaged by air raids in Al-Safra'a and Haydan Districts, Saada, Yemen.",Yemen Data Project 2018
2016,Water tank is damaged in air raid in Yemen,Casualty,Yemen,Western Asia,"A water tank is damaged in an air raid in Abs District, Hajjah, Yemen.",Yemen Data Project 2018
2016,Water tanks are hit in air raids in Yemen,Casualty,Yemen,Western Asia,"Water tanks are hit during air raids in Khadir and Al-Mawasit Districts, Taizz, Yemen.",Yemen Data Project 2018
2016,Air raids damage water project in Yemen,Casualty,Yemen,Western Asia,"An air raid causes damage to a water project in Razih District, Saada, Yemen.",Yemen Data Project 2018
2016,Three water trucks struck in air raids in Yemen,Casualty,Yemen,Western Asia,"Three water trucks are struck in air raids in Al-Mahabishah District, Hajjah, Yemen.",Yemen Data Project 2018
2016,Water barrier is damaged by air raid in Yemen,Casualty,Yemen,Western Asia,"A water barrier is damaged by an air raid in Al-Qubaytah District, Lahj, Yemen.",Yemen Data Project 2018
2016,Water tanks are hit in air raids in Yemen,Casualty,Yemen,Western Asia,"A water tank project and a water tank are hit during air raids in Harib and Sirwah Districts, Marib, Yemen.",Yemen Data Project 2018
2016,Al-Awadh dam is damaged in air raid in Yemen,Casualty,Yemen,Western Asia,"The Al-Awadh dam is damaged in an air raid in Radman District, Bayda, Yemen.",Yemen Data Project 2018
2016,Water factory is struck during air raids in Yemen,Casualty,Yemen,Western Asia,"The Al-Qis water factory is struck during two air raids in, Al-Hawta District, Lahj, Yemen.",Yemen Data Project 2018
2016,Water well is damaged by air raid in Yemen,Casualty,Yemen,Western Asia,"A water well is damaged in Harf Sufyan District, Amran, Yemen, by an air raid.",Yemen Data Project 2018
2016,Water well is damaged by air raid in Yemen,Casualty,Yemen,Western Asia,"A water well is damaged in Bilad Al-Rus District, Sanaa, Yemen by an air raid.",Yemen Data Project 2018
2016,Water pump is damaged in Yemen,Casualty,Yemen,Western Asia,"A water pump in Kitaf Wa Al-Boqe'e District, Sa'ada, Yemen, is damaged in the ongoing sub-national conflict.",Yemen Data Project 2018
2016,Main water tank is damaged in Yemen,Casualty,Yemen,Western Asia,"In Hayfan District, Taizz, a communities main water tank is damaged in the ongoing conflict in Yemen.",Yemen Data Project 2019
2016,Water well is damaged by air raid,Casualty,Yemen,Western Asia,"In Nihm District, Sanaa, a water well is damaged by an air raid in the ongoing conflict in Yemen.",Yemen Data Project 2019
2016,Several water pumps are hit by air raids in Yemen,Casualty,Yemen,Western Asia,"Several water pumps are hit during two air raids in Baqim District, Sa'ada, Yemen.",Yemen Data Project 2019
2016,Water tank is hit during air raids in Yemen,Casualty,Yemen,Western Asia,"A water tank is hit during three air raids in Al-Mahwit District, Al Mahwit, Yemen.",Yemen Data Project 2019
2016,Water project is attacked during air raids in Yemen,Casualty,Yemen,Western Asia,"A water project is struck during an air raid in Kitaf Wa Al-Boqe'e District, Saada, Yemen.",Yemen Data Project 2019
2016,Water driller is damaged by air raids in Yemen,Casualty,Yemen,Western Asia,"A water driller is damaged by ongoing air raids in Arhab District, Sanaa, Yemen.",Yemen Data Project 2019
2016,Water stations are hit during air raids in Yemen,Casualty,Yemen,Western Asia,"Water stations hit during air raids in Bila Al-Rus District, Sanaa, Yemen.",Yemen Data Project 2019
2016,Water driller is damaged in air raid in Yemen,Casualty,Yemen,Western Asia,"An air raid causes damage to a water driller in Sirwah District, Marib, Yemen.",Yemen Data Project 2019
2016,Desalination plant is hit by air raids in Yemen,Casualty,Yemen,Western Asia,"A desalination plant is hit during multiple air raids in Al Mokha District, Taizz, Yemen.",Yemen Data Project 2019
2016,Water tank is damaged in Yemen,Casualty,Yemen,Western Asia,"A water tank in Bani Sa'ad District, Al Mahwit, Yemen is damaged by the ongoing conflict.",Yemen Data Project 2019
2016,Desalination company is hit by air raid in Yemen,Casualty,Yemen,Western Asia,"An early morning air raid causes damage to a desalination company in Al Mokha District, Taizz, Yemen.",Yemen Data Project 2019
2016,Two dams are hit by air raids in Yemen,Casualty,Yemen,Western Asia,"The Al-Hayathim dam and the Mahalli dam were both struck during air raids in Nihm District, Sanaa, Yemen in early December.",Yemen Data Project 2019
2016,Multiple attacks damage water tanks in Yemen,Casualty,Yemen,Western Asia,"Water tanks are damaged over the course of several days in Kamaran District, Hudaydah, Yemen.",Yemen Data Project 2019
2016,Water well is hit during air raid in Yemen,Casualty,Yemen,Western Asia,"A water well is hit during an air raid in Asilan District, Shabwa, Yemen.",Yemen Data Project 2019
2016,Water driller is damaged over the course of four air raids,Casualty,Yemen,Western Asia,"Four air raids cause damage to a water driller in Al-Safra'a District, Saada, Yemen.",Yemen Data Project 2019
2016,Dam and water driller are damaged by air raids in Yemen,Casualty,Yemen,Western Asia,"The Al-Aqran dam and a water driller are hit during ongoing air raids in Nihm District, Sanaa, Yemen.",Yemen Data Project 2019
2017,U.S. Coalition against the Islamic State destroys main pipeline to Raqqa,Casualty,Syria,Western Asia,The U.S.-led coalition against the Islamic State destroys the main pipeline supplying water to Raqqa. The official Syrian Arab News Agency says the pipeline was damaged in an airstrike.,Onyanga-Omara 2017
2017,"Airstrikes, shelling and sniper attacks damage water structures in Al Mohka",Casualty,Yemen,Western Asia,"Fighting in Yemen has damaged water infrastructure in several cities. Airstrikes, shelling, and sniper attacks in and around the town of Al Mokha have killed and injured scores of civilians and halted most services, including the main market and the water supply system.",ReliefWeb 2017a
2017,Clashes over the ecological impacts of a proposed coal plant on aquatic ecosystems and fisheries,Trigger,Bangladesh,Southern Asia,Protesters take to the streets in the center of Dhaka and more than 50 are injured in clashes over the potential ecological impacts of a proposed coal plant on aquatic ecosystems and fisheries. These actions follow on protests from 2016.,"Schneider 2016a, Paul 2017"
2017,Clashes in Darfur between farmers and herders over water access result in deaths,Trigger,Sudan,Northern Africa,At least 70 people have been killed in the past few months in clashes between farmers and herders over access to water resources and land in the southern part of Darfur.,UN News Centre 2017
2017,ISIS floods villages in the Deir Hafer Plain of east Aleppo,Weapon,Syria,Western Asia,"In response to the advance of the Syrian Arab Army, Islamic State in Iraq and the Levant (ISIL) floods villages they control in the Deir Hafer Plain of east Aleppo by pumping water from Lake Assad into the Al-Jar channel.",Fadel 2017
2017,Nearly 3 million people left without reliable access to water supplies in Ukraine,Casualty,Ukraine,Eastern Europe,"A long series of attacks on energy and water systems in the Ukraine has intermittently left nearly three million people without access to reliable water supplies. This has included repeated damage to the Donetsk Filtration Plant, the South Donbas water pipeline, energy plants that supply power to water treatment and distribution systems, and the Carbonit Water Pumping Station.",ReliefWeb 2017b
2017,Attack on Islamic State forces controlling the Tabqa Dam,Casualty,Syria,Western Asia,"A combined U.S. and Syrian force launches an attack on Islamic State in Iraq and the Levant (ISIL) forces controlling the Tabqa Dam "" a choke point on the Euphrates River and source of hydroelectric power for the region, which has been under ISIL control. There are conflicting reports on whether the dam itself was the target of an attack.",Gibbons-Neff 2017
2017,11 injured in clashes between farmers and herdsmen over access to water,Trigger,Sudan,Sub-Saharan Africa,"Eleven people are injured after clashes between herdsmen over a water point in South Kordofan, Sudan.",Raleigh et al 2010 ID. 318310
2017,Islamic State militants burn water purification plant in Iraq,Casualty,Iraq,Western Asia,Militants from the Islamic State burn a water purification plant in a town north of the city of Mosul.,Raleigh et al 2010 ID. 350600
2017,Fight breaks out over access to water storage tank,Trigger,Somalia,Sub-Saharan Africa,A fight breaks out between two militias over a dispute concerning an underground water storage tank.,Raleigh et al 2010 ID. 291143
2017,Demonstration over access to clean drinking water turns violent.,Trigger,South Africa,Sub-Saharan Africa,A demonstration led by locals from the northwest village of Moeka for clean drinking water turns violent. One protester is shot and killed and several homes are destroyed.,Raleigh et al 2010 ID. 302462
2017,"Water well is poisoned in Somalia, killing more than 30 people",Weapon,Somalia,Sub-Saharan Africa,"Thirty-two people are reported killed and many others sickened from a poisoned water well in Masuubiye, Baidoa, Somalia. It is suspected that the well was poisoned by al Shabaab, a militant group affiliated with Al-Qaeda, in an attempt to prevent government soldiers from drinking the water.",Ikeji 2017
2017,Airstrikes in Yemen destroy water and electrical systems,Casualty,Yemen,Western Asia,"Airstrikes by coalition forces over a multi-day period hit water and electricity systems in Bajil and Al Hawak, Al Hudaydah, Yemen, killing one civilian.",Raleigh et al 2010 ID. 343278 & 343302
2017,Violence between herdsmen and farmers over access to water and pasture,Casualty,South Sudan,Sub-Saharan Africa,Local militia allegedly supported by the Sudan People's Liberation Army attack Kenyan herdsmen who crossed the border in search of water and pasture for their cattle.,Raleigh et al 2010 ID. 307066
2017,"Water for the Bari community, Somalia, cut off",Casualty,Somalia,Sub-Saharan Africa,Water for the Bari community in Somalia is cut off during a violent confrontation between militants that reportedly support Islamic State and Puntland security forces.,Raleigh et al 2010 ID. 291306
2017,Protests over water shortages turn violent,"Trigger, Casualty",South Africa,Sub-Saharan Africa,Residents protesting against water shortages are reported to have burned water tanks meant to help alleviate the problem.,Raleigh et al 2010 ID. 302517
2017,Protestors and police clash during march against water and electricity cutoffs,Trigger,Democratic Republic of Congo,Sub-Saharan Africa,"A march is led by members of Bundu dia Kongo who are protesting the cut off of water and electricity services to their leaders' residence. Protestors and police clash, leading to injuries in both parties.",Raleigh et al 2010 ID. 212136
2017,Fighting over access to water between herdsmen and farmers,Trigger,Ghana,Sub-Saharan Africa,Fighting is reported between youth and herdsmen over the alleged killing of a farmer by the herdsmen and the destruction of water sources used by their cattle.,Raleigh et al 2010 ID. 227232
2017,Airstrikes in Yemen destroy water and electrical systems,Casualty,Yemen,Western Asia,"Airstrikes by coalition forces over a few days hit water and electricity systems in Sanaa and Taiz, Yemen.",Raleigh et al 2010 ID. 343986 & 344105
2017,Syrian forces regain control from the Islamic State over water treatment and pumping plants,Casualty,Syria,Western Asia,Syrian governmental forces and their allies regain control from the Islamic State of the water treatment and pumping plants for the strategic town of al Khafsa on the Euphrates River.,TRT World 2017
2017,Demonstration over access to clean drinking water turns violent.,Trigger,Ghana,Sub-Saharan Africa,"Demonstrations led by residents of Ketu South, Volta, Ghana, who are upset about the drying up of domestic groundwater wells,turn violent. Property is damaged and clashes between residents and police result in the death of one resident and the injury of two others.",Raleigh et al 2010 ID. 227239
2017,"A bomb planted at water, oil, and gas pipelines explodes",Casualty,Iraq,Western Asia,"One of four bombs planted near water, gas, and oil pipelines explodes, injuring a policeman in Dibis, Kirkuk, Iraq.",Raleigh et al 2010 ID. 351470
2017,"Water and electrical systems in Yemen are attacked by coalition forces, killing two",Casualty,Yemen,Western Asia,"Two civilians in Maqbanah, Taiz, Yemen, are killed from airstrikes by coalition forces targeting water and electricity systems.",Raleigh et al 2010 ID. 344760
2017,Civilians protesting lack of access to water are reportedly beaten and tortured,Trigger,Sudan,Sub-Saharan Africa,"Five people from a citizen water committee and local police in El Fasher, North Darfur, Sudan, are reportedly beaten and tortured by military officers after asking the military to allow local residents to organize and take water from a local source. Residents stage protests against the violent reaction of the military.",Sudanese Online 2017
2017,Demonstration over access to water and concerns about salary payments turn violent,Trigger,Yemen,Western Asia,"Citizens from Crater, Aden, Yemen, demonstrate to demand salary payments and access to water and electricity services by blocking roads and setting tires on fire.",Raleigh et al 2010 ID. 345102
2017,Fighting between two clans in Sudan over ownership of water point leaves six dead,Trigger,Sudan,Sub-Saharan Africa,"Fighting between two clans near Lagawa, West Kordofan, Sudan over ownership of a water point leaves six dead and several others wounded.",Raleigh et al 2010 ID. 318582
2017,"Airstrikes in Jahran, Dhamar, Yemen hit water systems",Casualty,Yemen,Western Asia,"Airstrikes in Jahran, Dhamar, Yemen by coalition forces hit water and electricity systems.",Raleigh et al 2010 ID. 345190
2017,"Four people killed in clash over access to a water point in North Darfur, Sudan",Trigger,Sudan,Sub-Saharan Africa,"Former Sudan Liberation Army-Abdul Wahid (SLA-AW) rebels and Arab nomads clash over access to a water point in Kebkabiya, North Darfur, Sudan, resulting in the death of a total of four people from both sides of the conflict.",Raleigh et al 2010 ID. 318587
