,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
MCHP,6.46,58.53,19.39,5.80,1.69,2.35,1.07%,11.00%,7.00%,-35.50%,2.06%
MCHX,1.45,-,-,-,0.08,-0.71,-,-42.10%,-4.80%,-192.10%,5.30%
MCMJ,,,,,,,,,,,
MCMJW,,,,,,,,,,,
MCRB,11.17,-,-,-,0.13,-1.19,-,-,303.30%,-54.50%,9.26%
MCRI,2.70,68.36,18.63,4.88,0.51,0.77,-,4.20%,5.90%,14.30%,1.00%
MDB,326.72,-,-,-,20.68,-3.89,-,-216.50%,-13.90%,-64.70%,5.70%
MDCA,-,-,-,-,-,-0.23,-,2.30%,13.80%,107.00%,0.60%
MDGL,6.25,-,-,-,0.00,-11.07,-,-47.60%,-,-169.90%,2.40%
MDGS,1.16,-,-,-,-,-4.98,-,-,-,-,5.83%
MDGSW,,,,,,,,,,,
MDIA,-,-,-,-,-,-3.78,-,-452.80%,2.80%,-157.50%,6.30%
MDIV,-,-,-,-,-,-,7.27%,-,-,-,-
MDJH,4.78,38.14,-,-,0.00,0.09,-,-,2.90%,115.30%,87.79%
MDLZ,3.09,26.84,20.69,4.19,0.75,2.17,2.17%,11.80%,8.40%,-20.50%,0.11%
MDNA,-,-,-,-,-,-,-,-,-,-,33.22%
MDRR,0.71,-,-,-,4.68,-1.13,24.63%,-33.20%,-1.60%,-100.90%,8.20%
MDRRP,,,,,,,,,,,
MDRX,1.89,-,23.70,-,0.89,-0.30,-,-3.70%,-0.20%,109.60%,1.80%
MDVL,6.10,-,-,-,0.50,-4.26,-,-168.40%,-175.80%,31.50%,0.40%
MDWD,11.47,-,-,-,0.35,-0.41,-,-93.20%,25.20%,32.90%,42.77%
MDXG,55.67,-,-,-,3.69,-0.67,-,-289.60%,-21.10%,-524.20%,2.50%
MEDP,5.81,39.43,30.94,2.28,0.00,3.28,-,16.60%,14.20%,73.20%,21.10%
MEDS,3.68,-,21.43,-,0.00,-0.11,-,-8.30%,-1.20%,276.30%,29.40%
MEIP,3.93,-,-,-,0.00,-0.52,-,-57.80%,-31.40%,54.20%,0.50%
MELI,43.36,-,471.18,-,0.71,-0.08,-,-0.20%,-7.80%,110.30%,11.89%
MEOH,2.60,-,1315.16,-,2.79,-1.59,0.37%,-9.40%,4.80%,-786.70%,0.50%
MERC,1.09,-,71.09,-,0.00,-1.19,2.86%,-15.00%,3.60%,525.70%,0.40%
MESA,0.57,8.88,15.11,-,1.71,0.81,-,6.50%,8.00%,13.10%,3.70%
MESO,3.43,-,144.00,-,0.19,-0.89,-,-18.70%,-9.80%,-283.80%,-
METC,0.74,70.00,6.79,16.56,0.15,0.04,-,1.00%,13.30%,-182.60%,5.90%
METX,0.62,-,-,-,0.01,-0.57,-,-0.70%,-,-28.30%,70.56%
METXW,,,,,,,,,,,
MFH,1.52,8.17,-,-,0.00,0.32,-,-1.00%,5.70%,89.30%,-
MFIN,0.60,-,5.34,-,0.00,-1.71,-,-16.90%,11.40%,-577.80%,0.40%
MFINL,,,,,,,,,,,
MFNC,0.79,10.06,13.13,1.01,0.38,1.23,4.52%,8.00%,29.50%,-8.80%,3.00%
MGEE,2.62,26.68,24.59,5.56,0.57,2.64,2.10%,10.20%,6.40%,-0.60%,0.18%
MGEN,2.94,-,-,-,0.42,-10.63,-,-141.70%,-174.20%,72.70%,1.50%
MGI,-,-,21.95,-,-,-0.36,-,6.70%,13.40%,221.90%,1.50%
MGIC,3.10,32.21,20.03,2.25,0.12,0.49,1.66%,9.60%,9.90%,42.70%,58.10%
MGLN,1.27,39.93,23.65,-,0.41,1.97,-,9.00%,3.50%,-507.50%,0.40%
MGNI,5.93,-,127.80,-,0.00,-0.60,-,-25.00%,-23.30%,18.20%,5.00%
MGNX,4.17,-,-,-,0.00,-3.13,-,-65.80%,-76.80%,27.50%,0.20%
MGPI,2.90,17.73,16.30,1.18,0.22,2.44,1.11%,17.20%,14.70%,27.20%,0.40%
MGRC,2.31,16.03,15.25,1.60,0.38,3.95,2.65%,15.10%,11.80%,-12.80%,0.60%
MGTA,2.18,-,-,-,0.00,-1.95,-,-53.40%,-,32.20%,11.79%
MGTX,2.93,-,-,-,0.00,-1.44,-,-29.10%,-30.50%,42.70%,4.10%
MGYR,0.93,24.00,-,-,0.00,0.38,-,3.90%,33.70%,-29.80%,58.96%
MHLD,2.50,18.07,-,1.51,3.49,0.12,-,103.80%,-31.20%,103.60%,0.40%
MICT,0.77,-,-,-,0.02,-0.85,-,-106.30%,-70.30%,-463.90%,4.20%
MIDD,3.71,28.76,23.58,3.08,0.90,4.77,-,13.50%,10.60%,-25.50%,2.21%
MIK,-,10.89,4.94,-,-,0.94,-,-9.10%,35.00%,-133.80%,0.10%
MILN,-,-,-,-,-,-,0.34%,-,-,-,-
MIME,9.70,181.82,46.06,4.66,0.37,0.25,-,6.30%,0.00%,-,1.90%
MIND,0.85,-,-,-,0.05,-1.34,-,-49.30%,-23.60%,-22.60%,3.70%
MINDP,,,,,,,,,,,
MIRM,5.00,-,-,-,0.00,-3.43,-,-61.90%,-,-30.50%,0.50%
MIST,1.94,-,-,-,0.00,-2.22,-,-58.90%,-,23.20%,7.90%
MITK,4.00,77.77,15.99,5.18,0.00,0.15,-,4.10%,-1.20%,52.20%,3.70%
MITO,26.10,-,-,-,3.91,-0.80,-,-421.90%,-205.50%,53.00%,-
MKD,-,-,-,-,-,-0.31,-,132.10%,771.30%,-254.80%,-
MKGI,9.70,-,-,-,1.00,-0.66,-,-165.90%,-67.90%,45.20%,8.40%
MKSI,3.55,28.58,17.66,1.02,0.37,5.01,0.56%,13.20%,6.30%,92.70%,0.10%
MKTX,22.52,74.50,65.44,3.82,0.00,7.26,0.44%,33.30%,25.80%,25.00%,2.80%
MLAB,3.53,-,120.35,-,0.00,-0.70,0.24%,-0.80%,1.50%,-30.40%,3.70%
MLAC,-,-,-,-,-,-,-,-,-,-,-
MLACU,,,,,,,,,,,
MLACW,,,,,,,,,,,
MLCO,6.77,-,95.84,-,4.67,-2.09,2.72%,-55.10%,10.30%,-502.00%,33.50%
MLHR,2.91,151.27,11.75,-,0.44,0.24,2.03%,2.00%,-3.60%,52.10%,0.40%
MLND,0.88,-,-,-,0.01,-2.41,-,-85.30%,-,61.30%,6.29%
MLVF,0.87,19.62,13.41,-,0.17,0.84,-,5.60%,14.50%,-44.30%,3.20%
MMAC,0.50,2.13,-,-,0.86,11.21,-,23.60%,10.90%,-46.70%,2.40%
MMLP,-,26.56,-,7.38,-,0.06,1.23%,-6.20%,10.40%,-181.70%,1.80%
MMSI,3.26,-,29.79,-,0.38,-0.53,-,-3.10%,1.30%,12.00%,0.10%
MMYT,3.19,-,-,-,0.02,-4.24,-,-,-48.60%,-,85.40%
MNCL,11.98,-,21.73,-,-,-0.27,-,-,-,-,22.58%
MNCLU,,,,,,,,,,,
MNCLW,,,,,,,,,,,
MNDO,2.34,10.08,-,-,0.00,0.26,9.34%,25.30%,20.90%,-10.10%,55.80%
MNKD,-,-,-,-,-,-0.21,-,23.90%,57.40%,5.50%,0.90%
MNOV,3.62,-,-,-,0.00,-0.29,-,-17.60%,-,-51.20%,0.40%
MNPR,3.00,-,-,-,0.01,-0.50,-,-39.40%,-,-108.80%,1.90%
MNRO,2.12,52.17,24.15,2.90,0.86,0.90,1.88%,4.10%,5.20%,-36.70%,2.10%
MNSB,0.90,11.34,10.50,-,0.10,1.40,-,8.20%,22.70%,39.10%,4.10%
MNSBP,,,,,,,,,,,
MNST,9.84,38.77,33.04,2.73,0.00,2.23,-,28.20%,26.20%,19.60%,0.20%
MNTX,1.28,-,13.78,-,0.84,-0.59,-,-17.20%,-6.10%,67.70%,17.60%
MOFG,0.78,121.96,10.24,15.24,0.29,0.20,3.63%,0.60%,21.80%,-262.30%,0.20%
MOGO,-,-,-,-,-,-0.80,-,-,-,-,30.56%
MOHO,1.06,-,-,-,0.57,-0.25,-,-15.90%,3.70%,-579.50%,28.35%
MOMO,1.32,6.75,5.78,2.53,0.36,1.98,-,22.00%,14.40%,-37.90%,3.13%
MOR,5.76,-,-,-,-,-0.26,-,-,-,-,-
MORF,7.30,-,-,-,0.00,-1.56,-,-,-34.00%,156.00%,0.90%
MORN,7.36,49.69,-,3.11,0.41,4.07,0.59%,16.10%,9.00%,55.20%,46.10%
MOSY,1.43,-,-,-,0.95,-1.44,-,-91.30%,-32.00%,76.00%,0.20%
MOTNU,,,,,,,,,,,
MOTS,1.92,-,-,-,0.53,-0.71,-,-151.70%,-,28.50%,0.90%
MOXC,138.00,51.11,-,-,3.00,0.03,-,109.50%,-88.30%,22.00%,54.25%
MPAA,1.41,89.41,8.93,3.58,0.43,0.24,-,1.70%,3.90%,143.70%,2.00%
MPB,0.75,8.69,8.33,-,0.47,2.55,3.25%,8.90%,21.80%,36.90%,5.20%
MPWR,15.77,96.23,59.14,3.85,0.00,3.33,0.62%,18.40%,13.00%,83.70%,4.70%
MRAM,5.63,-,89.17,-,0.44,-0.54,-,-52.10%,-54.80%,2.80%,0.50%
MRBK,,,,,,,,,,,
MRCC,0.84,-,8.72,-,1.40,-0.20,11.00%,-1.50%,4.50%,299.00%,2.95%
MRCCL,,,,,,,,,,,
MRCY,2.80,48.10,27.56,1.82,0.00,1.49,-,6.00%,5.90%,-18.30%,1.80%
MREO,-,-,-,-,-,-,-,-,-,-,0.77%
MRIN,1.34,-,-,-,0.31,-1.75,-,-75.30%,-67.60%,-17.60%,4.98%
MRKR,2.32,-,-,-,0.00,-0.51,-,-56.30%,-51.10%,-11.20%,29.89%
MRLN,0.74,-,8.51,-,4.73,-0.85,4.91%,-14.00%,2.60%,-62.20%,5.80%
MRNA,20.46,-,26.03,-,0.04,-1.62,-,-28.10%,-44.90%,-58.90%,2.40%
MRNS,5.75,-,-,-,0.00,-3.43,-,-108.50%,-,51.20%,2.97%
MRSN,6.36,-,-,-,0.02,-1.35,-,-45.20%,-36.10%,6.40%,0.80%
MRTN,2.19,21.65,18.19,2.16,0.00,0.79,0.94%,10.60%,10.00%,8.00%,22.30%
MRTX,18.34,-,-,-,0.00,-7.70,-,-60.00%,-,-41.40%,0.30%
MRUS,6.19,-,-,-,0.00,-2.94,-,-77.10%,-44.80%,-100.50%,0.40%
MRVI,-,153.66,-,-,11.34,0.18,-,-,4.60%,-,0.10%
MRVL,3.62,22.90,33.13,0.59,0.17,1.99,0.53%,17.30%,16.50%,-173.80%,0.20%
MSBI,0.65,15.76,8.82,2.25,0.35,1.11,6.09%,2.40%,17.60%,-99.80%,3.70%
MSEX,3.60,32.40,31.96,12.00,0.81,2.18,1.48%,11.50%,6.60%,9.10%,0.70%
MSFT,13.20,34.75,28.83,2.39,0.60,6.20,1.04%,40.70%,23.10%,31.40%,0.10%
MSON,1.65,-,-,-,0.31,-1.46,-,-16.90%,-7.80%,-322.70%,21.69%
MSTR,7.94,2818.60,57.56,281.86,0.00,0.11,-,0.40%,-1.00%,-257.30%,0.10%
MSVB,0.89,38.62,-,-,0.00,0.36,0.57%,2.40%,13.70%,172.10%,1.70%
MTBC,1.38,-,-,-,0.01,-1.65,-,-29.20%,-0.30%,-222.60%,42.40%
MTBCP,,,,,,,,,,,
MTC,8.84,-,-,-,0.00,-0.10,-,-56.20%,-61.30%,6.10%,62.85%
MTCH,-,65.72,62.22,9.58,-,2.11,-,660.00%,10.90%,-17.40%,2.00%
MTCR,2.11,-,-,-,0.00,-,-,-,-,64.90%,7.00%
MTEM,5.05,-,-,-,0.18,-2.03,-,-112.90%,-,54.20%,22.53%
MTEX,1.50,5.75,-,0.33,0.04,3.27,3.41%,28.70%,13.90%,221.50%,14.70%
MTLS,15.54,-,704.38,-,0.91,-0.08,-,-2.80%,1.70%,-132.90%,3.52%
MTP,1.92,-,-,-,-,-0.85,-,-,-,-,0.21%
MTRX,0.84,-,15.26,-,0.03,-1.58,-,-13.50%,-10.40%,-151.80%,3.90%
MTSC,1.44,52.80,20.22,5.28,1.22,0.69,-,2.80%,7.30%,-67.30%,0.50%
MTSI,9.98,-,23.70,-,2.30,-0.69,-,-16.00%,-0.10%,6.00%,1.10%
MTSL,2.45,-,-,-,0.00,-0.11,-,-19.00%,-5.60%,-152.70%,71.90%
MU,1.97,29.07,11.29,3.20,0.17,2.38,-,7.10%,6.10%,76.00%,0.20%
MVBF,1.08,8.50,20.21,-,0.02,2.42,1.75%,13.60%,23.60%,50.70%,6.70%
MVIS,-,-,-,-,-,-0.10,-,297.20%,661.80%,63.20%,0.70%
MWK,4.14,-,-,-,0.79,-2.28,-,-285.10%,-118.40%,94.40%,0.80%
MXIM,13.14,33.30,27.87,2.12,0.58,2.53,2.28%,40.70%,25.00%,23.10%,0.20%
MYFW,,,,,,,,,,,
MYGN,1.52,-,110.30,-,0.25,-2.87,-,-20.10%,-18.20%,-68.60%,2.20%
MYRG,2.17,16.69,15.83,2.09,0.17,3.18,-,13.90%,8.10%,65.30%,2.20%
MYSZ,2.64,-,-,-,-,-1.34,-,-,-,-,6.28%
MYT,0.40,-,-,-,0.00,-0.65,-,-137.60%,-16.50%,-,11.76%
NAII,0.90,124.50,-,-,0.14,0.08,-,0.70%,-1.70%,2252.10%,6.30%
NAKD,-,-,-,-,-,-12.46,-,-,-93.00%,98.90%,0.40%
NAOV,3.14,-,-,-,0.00,-0.99,-,-418.50%,-417.10%,46.40%,0.10%
NARI,16.40,1119.66,-,-,0.00,0.06,-,-,-3.00%,1674.90%,4.10%
NATH,-,19.38,-,-,-,2.91,2.49%,-18.60%,28.30%,2.60%,31.48%
NATI,4.13,25.95,47.30,4.48,0.07,1.50,2.67%,15.90%,13.30%,-109.00%,0.20%
NATR,1.67,15.11,-,-,0.03,0.83,-,12.00%,5.70%,407.80%,1.80%
NAVI,0.83,4.93,3.26,0.41,38.25,1.97,6.60%,16.30%,0.60%,67.80%,1.50%
NBAC,0.57,-,-,-,0.00,-0.49,-,-2.70%,-,-,0.87%
NBACR,,,,,,,,,,,
NBACU,,,,,,,,,,,
NBACW,,,,,,,,,,,
NBEV,3.85,-,15.05,-,0.43,-1.21,-,-111.50%,-69.50%,-5.60%,1.40%
NBIX,11.27,104.71,27.01,-,0.53,0.93,-,12.60%,6.00%,-210.30%,1.00%
NBLX,1.14,6.15,4.79,-,2.05,1.65,7.37%,16.90%,12.10%,-54.80%,62.58%
NBN,1.06,7.39,-,-,0.11,3.01,0.18%,15.60%,28.90%,80.80%,2.60%
NBRV,15.75,-,-,-,0.21,-0.76,-,-210.60%,-105.00%,62.20%,1.50%
NBSE,4.99,-,-,-,0.01,-2.99,-,-,-,53.00%,21.97%
NBTB,1.16,13.75,12.49,2.75,0.23,2.25,3.49%,8.70%,19.60%,8.90%,0.30%
NCBS,1.33,13.36,12.94,1.91,0.70,5.16,-,10.40%,17.60%,23.60%,9.20%
NCMI,-,-,-,-,-,-0.14,7.05%,2.70%,26.00%,-237.80%,0.10%
NCNA,1.09,-,-,-,0.01,-1.05,-,-35.90%,-,-99.30%,0.42%
NCNO,-,-,-,-,0.00,-0.39,-,-,-17.20%,-39.50%,1.20%
NCSM,11.28,-,-,-,0.07,-1.45,-,-68.00%,-12.90%,-254.80%,0.60%
NCTY,-,-,-,-,-,-73.27,-,26.60%,-,30.50%,45.10%
NDAQ,3.53,23.68,21.37,2.34,0.59,5.46,1.52%,16.00%,8.90%,75.50%,0.10%
NDLS,10.46,-,30.47,-,1.38,-0.47,-,-51.40%,5.00%,-103.00%,1.60%
NDRA,6.20,-,-,-,0.09,-1.81,-,-652.00%,-,66.70%,4.70%
NDRAW,,,,,,,,,,,
NDSN,6.44,34.53,30.76,2.66,0.72,5.72,0.79%,20.10%,13.90%,-7.90%,0.80%
NEO,7.84,-,152.44,-,0.26,-0.03,-,-0.80%,2.70%,91.40%,3.00%
NEOG,5.27,65.42,56.35,6.54,0.00,1.14,-,8.40%,7.50%,7.00%,0.20%
NEON,4.84,-,-,-,0.06,-0.72,-,-85.10%,-76.90%,-33.90%,0.90%
NEOS,-,-,-,-,-,-0.44,-,156.00%,-26.90%,-139.30%,1.30%
NEPH,6.66,-,-,-,0.14,-0.47,-,-50.50%,-48.00%,-13.60%,0.90%
NEPT,2.19,-,-,-,-,-0.07,-,-,-,-,10.80%
NERV,1.99,-,-,-,0.00,-0.54,-,-51.20%,-,45.90%,0.10%
NESR,0.90,21.85,10.20,-,0.46,0.42,-,4.10%,4.50%,1.70%,38.55%
NESRW,,,,,,,,,,,
NETE,13.34,-,-,-,3.19,-1.61,-,-204.40%,-51.20%,-112.80%,2.00%
NEWA,1.23,8.85,-,-,0.43,0.40,-,15.40%,9.70%,86.40%,48.11%
NEWT,1.19,12.31,8.92,4.10,1.19,1.49,11.21%,9.50%,-,-103.90%,4.80%
NEWTI,,,,,,,,,,,
NEWTL,,,,,,,,,,,
NEXT,4.46,-,-,-,0.00,-0.35,-,-50.50%,-,-54.80%,0.50%
NFBK,0.77,16.15,13.38,2.02,0.72,0.71,3.83%,4.70%,14.20%,-39.50%,1.30%
NFE,80.49,-,34.85,-,0.00,-1.66,0.94%,-195.50%,-26.70%,27.80%,0.90%
NFLX,21.51,85.22,55.76,2.08,1.55,5.91,-,31.50%,10.20%,17.80%,1.55%
NFTY,-,-,-,-,-,-,0.69%,-,-,-,-
NGACU,-,-,-,-,-,-,-,-,-,-,-
NGHC,1.46,8.80,10.57,-,0.00,3.89,0.58%,18.70%,13.10%,60.60%,0.10%
NGHCN,,,,,,,,,,,
NGHCO,,,,,,,,,,,
NGHCP,,,,,,,,,,,
NGHCZ,,,,,,,,,,,
NGM,5.93,-,-,-,0.00,-1.33,-,-29.50%,-14.90%,-161.30%,1.30%
NGMS,-,1197.37,-,-,15.09,0.02,-,-,15.50%,-,80.43%
NH,-,-,-,-,-,-0.72,-,72.20%,-17.70%,33.10%,59.62%
NHIC,-,-,-,-,-,-,-,-,-,-,17.68%
NHICU,-,-,-,-,-,-,-,-,-,-,-
NHICW,,,,,,,,,,,
NHLD,0.75,-,-,-,0.14,-0.25,-,-6.80%,3.60%,-403.80%,4.60%
NHLDW,,,,,,,,,,,
NHTC,0.84,-,-,-,0.00,-0.27,14.84%,-3.80%,-9.40%,147.50%,39.12%
NICE,6.04,76.88,38.05,7.69,0.36,3.10,-,8.70%,7.00%,10.70%,0.09%
NICK,0.52,10.44,-,2.09,1.00,0.70,-,4.90%,1.50%,375.60%,1.00%
NISN,4.31,85.18,-,-,0.04,0.17,-,6.50%,2.70%,-58.70%,60.73%
NIU,-,108.39,35.78,18.50,0.19,0.27,-,-,14.70%,20.50%,-
NK,6.65,-,-,-,0.02,-0.75,-,-56.10%,-,-27.00%,25.70%
NKLA,6.41,-,-,-,0.00,-0.74,-,-41.10%,-,-,1.30%
NKSH,1.02,12.93,14.74,-,0.00,2.45,4.54%,8.20%,18.70%,-1.80%,0.90%
NKTR,2.64,-,-,-,0.00,-2.48,-,-34.40%,-26.60%,-7.90%,1.10%
NKTX,3.15,-,-,-,0.00,-,-,-,90.60%,-336.20%,9.70%
NLOK,-,14.32,11.92,1.03,-,1.30,2.69%,169.10%,8.20%,368.90%,0.20%
NLTX,3.30,-,-,-,0.00,-0.65,-,-18.90%,-,98.20%,20.29%
NMCI,0.50,20.44,-,-,1.29,0.14,-,6.50%,6.20%,-572.90%,35.73%
NMFC,0.98,83.92,9.92,56.32,-,0.14,10.00%,-,-,276.10%,10.08%
NMFCL,,,,,,,,,,,
NMIH,1.48,9.72,9.87,-,0.30,2.35,-,15.50%,17.10%,-37.10%,1.30%
NMMC,,,,,,,,,,,
NMMCU,,,,,,,,,,,
NMMCW,,,,,,,,,,,
NMRD,7.66,-,-,-,0.46,-0.21,-,-153.50%,-,-31.50%,61.69%
NMRK,2.04,22.32,6.14,2.23,3.69,0.33,0.54%,10.30%,13.50%,-19.30%,0.10%
NMTR,30.80,-,-,-,0.36,-0.96,-,-,-,77.10%,0.90%
NNBR,3.25,-,34.03,-,9.63,-3.55,-,-352.70%,0.90%,69.10%,0.40%
NNDM,5.61,-,-,-,0.03,-0.74,-,-94.60%,-100.20%,-,-
NNOX,9.69,-,-,-,0.00,-,-,-,-,-,27.59%
NOACU,-,-,-,-,-,-,-,-,-,-,8.70%
NODK,1.11,10.14,-,-,0.00,1.63,-,11.50%,6.20%,153.40%,0.90%
NOVN,8.58,-,-,-,0.12,-0.22,-,276.20%,128.90%,82.70%,8.94%
NOVS,-,-,-,-,-,-,-,-,-,-,10.07%
NOVSU,-,-,-,-,-,-,-,-,-,-,-
NOVSW,,,,,,,,,,,
NOVT,9.23,102.72,53.04,-,0.46,1.15,-,9.60%,7.70%,-7.70%,0.80%
NPA,,,,,,,,,,,
NPAUU,14.92,-,-,-,-,-,-,-,-,-,-
NPAWW,,,,,,,,,,,
NRBO,9.45,-,-,-,0.00,-2.77,-,-203.70%,-,73.50%,1.99%
NRC,21.56,33.11,-,2.55,0.56,1.47,-,87.30%,51.40%,18.30%,2.10%
NRIM,0.95,7.58,9.17,-,0.05,4.23,4.36%,13.20%,27.70%,64.50%,1.30%
NRIX,4.43,-,-,-,0.00,-2.20,-,-,39.00%,-176.60%,3.00%
NSEC,0.68,-,-,-,0.30,-1.81,1.89%,-9.20%,7.70%,-280.80%,3.10%
NSIT,2.00,15.94,11.18,1.83,0.23,4.52,-,13.60%,9.30%,45.50%,0.90%
NSSC,6.90,73.53,24.93,49.02,0.05,0.41,-,9.60%,10.40%,-27.50%,1.30%
NSTG,21.01,-,-,-,1.66,-1.66,-,-55.30%,-18.50%,12.50%,0.60%
NSYS,0.58,5.68,-,-,0.53,0.84,-,11.10%,-0.50%,369.30%,56.15%
NTAP,45.91,17.11,14.74,3.59,9.79,3.46,3.24%,-,42.40%,-18.20%,0.30%
NTCT,0.91,80.10,14.19,45.00,0.23,0.30,-,1.20%,0.50%,78.10%,1.10%
NTEC,0.79,-,-,-,-,-6.11,-,-,-,-,8.74%
NTES,4.60,110.02,20.42,89.52,0.26,0.80,1.06%,19.20%,13.90%,-31.20%,45.00%
NTGR,1.56,38.47,11.96,-,0.00,0.88,-,4.40%,3.70%,111.00%,2.20%
NTIC,1.55,-,18.26,-,0.00,-0.15,-,-2.30%,-1.90%,-318.70%,3.50%
NTLA,7.32,-,-,-,0.00,-2.28,-,-40.10%,-,2.70%,0.90%
NTNX,-,-,-,-,-,-4.59,-,764.20%,-393.40%,11.20%,0.50%
NTRA,13.71,-,-,-,0.47,-2.39,-,-54.70%,-29.40%,-119.50%,1.30%
NTRS,1.83,15.55,15.42,-,12.71,6.04,2.98%,12.40%,1.10%,-22.20%,0.20%
NTRSO,,,,,,,,,,,
NTUS,1.80,-,18.66,-,0.17,-0.60,-,-5.00%,-2.10%,-212.90%,1.20%
NTWK,0.78,12.18,-,0.43,0.21,0.29,-,6.00%,-0.10%,138.80%,13.50%
NUAN,10.42,430.56,48.89,84.42,1.34,0.10,-,1.80%,4.90%,-877.20%,0.90%
NURO,1.42,-,-,-,0.00,-1.89,-,-71.00%,-152.70%,95.30%,0.70%
NUVA,2.67,-,19.54,-,1.57,-0.22,-,-1.00%,7.00%,-45.40%,0.20%
NUZE,26.67,-,-,-,0.05,-0.54,-,-154.10%,-281.50%,73.70%,42.31%
NVAX,72.53,-,8.71,-,4.14,-5.22,-,-,-,-332.20%,0.20%
NVCN,29.79,-,-,-,-,-2.88,-,-,-,-,30.07%
NVCR,42.98,1860.29,313.03,-,0.00,0.07,-,7.40%,0.20%,376.30%,1.60%
NVDA,21.84,88.53,46.50,4.12,0.45,6.12,0.12%,28.10%,18.80%,45.80%,0.30%
NVEC,3.38,21.38,-,0.86,0.00,2.42,7.72%,15.20%,16.30%,-41.70%,1.79%
NVEE,2.33,45.60,17.55,2.71,0.85,1.58,-,5.40%,3.60%,30.80%,2.20%
NVFY,0.22,-,-,-,0.01,-2.53,-,-,-9.20%,-,0.50%
NVIV,0.44,-,-,-,0.00,-11.65,-,-124.40%,-,94.60%,12.35%
NVMI,5.22,40.91,26.79,-,0.00,1.59,-,14.00%,10.00%,59.20%,1.70%
NVUS,1.21,-,-,-,0.00,-22.51,-,-161.70%,-,-37.40%,1.84%
NWBI,0.99,21.51,13.48,3.07,0.34,0.56,6.27%,4.50%,17.80%,-4.60%,0.10%
NWE,1.42,18.11,16.29,6.70,1.12,3.19,4.16%,7.90%,6.90%,36.50%,0.60%
NWFL,1.07,13.32,-,-,0.00,1.90,3.94%,8.60%,25.30%,0.20%,1.10%
NWL,2.42,-,13.03,-,1.58,-0.81,4.34%,-2.60%,4.90%,147.20%,0.30%
NWLI,0.32,7.36,-,-,0.00,26.10,0.19%,4.40%,1.90%,-45.80%,34.45%
NWPX,1.08,11.10,12.99,1.11,0.06,2.63,-,10.20%,9.60%,-32.90%,0.80%
NWS,1.43,-,-,-,-,-1.71,1.08%,-,-,-,39.44%
NWSA,1.42,-,38.47,-,0.17,-1.71,1.09%,-12.60%,-17.50%,114.90%,0.59%
NXGN,2.81,120.27,18.81,24.37,0.15,0.15,-,2.40%,1.60%,69.00%,17.40%
NXPI,5.05,-,19.89,-,1.05,-0.52,0.93%,-,3.60%,-120.50%,0.10%
NXST,2.21,9.24,8.26,0.16,3.53,11.86,2.04%,26.20%,4.80%,-,0.60%
NXTC,0.92,-,-,-,0.01,-1.49,-,-10.00%,-11.50%,-60.20%,0.20%
NXTD,2.16,-,-,-,1.45,-0.03,-,-12.90%,3.10%,-121.70%,15.87%
NXTG,-,-,-,-,-,-,1.16%,-,-,-,-
NYMT,0.79,-,9.13,-,1.31,-1.00,8.22%,-20.90%,0.80%,60.00%,0.20%
NYMTM,,,,,,,,,,,
NYMTN,,,,,,,,,,,
NYMTO,,,,,,,,,,,
NYMTP,,,,,,,,,,,
NYMX,38.40,-,-,-,0.03,-0.17,-,-646.70%,-380.70%,-58.20%,43.56%
OAS,-,-,-,-,-,-14.32,-,-,3.00%,-371.80%,-
OBAS,0.94,183.52,-,-,-,0.05,-,-,-,-,81.60%
OBCI,3.22,13.37,-,-,0.11,0.99,0.60%,27.70%,10.20%,311.30%,61.80%
OBLN,1.51,-,-,-,0.00,-2.06,-,-159.10%,-147.00%,67.00%,3.92%
OBNK,1.01,20.12,12.18,-,0.13,1.35,1.48%,5.20%,24.90%,-10.00%,0.60%
OBSV,4.89,-,-,-,1.22,-1.82,-,-256.20%,-,22.90%,5.54%
OCC,1.41,-,-,-,0.95,-0.87,-,-35.10%,-15.70%,-31.50%,36.04%
OCCI,1.10,-,-,-,-,-3.47,17.31%,-,-,-,24.32%
OCCIP,,,,,,,,,,,
OCFC,0.67,17.17,11.14,1.72,0.17,0.95,4.18%,3.80%,18.80%,-120.50%,0.10%
OCFCP,,,,,,,,,,,
OCGN,3.19,-,-,-,0.22,-0.02,-,-153.70%,-,97.90%,0.10%
OCSI,0.86,-,-,-,1.00,-0.04,7.49%,-0.50%,3.00%,589.30%,0.10%
OCSL,0.86,20.04,9.77,3.52,-,0.28,7.90%,-,-,405.50%,14.09%
OCUL,-,-,-,-,-,-1.77,-,-,-187.80%,52.60%,4.92%
OCUP,1.18,-,-,-,0.00,-6.27,-,-79.30%,-,32.10%,32.10%
ODFL,7.57,38.84,30.45,2.74,0.05,5.27,0.29%,20.50%,19.50%,25.20%,12.66%
ODP,0.82,-,6.37,-,0.21,-5.40,-,-14.40%,4.00%,-3.40%,0.50%
ODT,3.23,-,-,-,0.00,-3.91,-,-85.80%,-,-5.60%,1.70%
OEG,1.59,-,-,-,0.48,-0.88,-,-46.90%,-30.00%,-67.10%,2.90%
OESX,9.20,208.44,15.38,8.34,0.26,0.05,-,4.80%,31.50%,-71.80%,10.30%
OFED,1.46,31.01,-,-,0.00,0.73,1.76%,4.70%,15.80%,35.10%,77.21%
