,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
RFAP,,,,,,,,,,,
RFDI,-,-,-,-,-,-,1.82%,-,-,-,-
RFEM,-,-,-,-,-,-,3.13%,-,-,-,-
RFEU,,,,,,,,,,,
RFIL,1.50,90.93,-,-,0.09,0.05,-,5.20%,10.90%,-108.00%,5.40%
RGCO,2.18,18.31,16.63,-,1.39,1.30,3.11%,11.90%,4.30%,-171.80%,5.30%
RGEN,8.95,233.13,118.07,7.77,0.00,0.82,-,4.00%,2.00%,750.00%,0.60%
RGLD,2.97,42.77,27.46,2.32,0.12,2.49,1.13%,10.40%,5.10%,51.70%,0.20%
RGLS,6.75,-,-,-,1.74,-0.75,-,-150.70%,-48.10%,84.60%,5.10%
RGNX,4.08,-,-,-,0.00,-2.48,-,-21.70%,-32.50%,124.10%,1.10%
RGP,1.31,15.87,14.84,1.98,0.28,0.79,4.46%,-,7.60%,-53.70%,1.10%
RIBT,1.07,-,-,-,0.22,-0.35,-,-49.40%,-42.90%,32.50%,1.30%
RICK,2.36,-,13.19,-,0.93,-0.68,0.41%,-3.80%,1.10%,-286.60%,14.34%
RIDE,2.58,-,-,-,0.00,-0.05,-,-0.60%,-,-366.40%,19.90%
RIDEW,,,,,,,,,,,
RIGL,11.67,-,-,-,0.39,-0.17,-,-45.00%,-108.60%,-22.40%,0.31%
RILY,3.01,28.04,-,-,4.38,1.58,3.39%,14.80%,6.50%,43.90%,22.60%
RILYG,,,,,,,,,,,
RILYH,,,,,,,,,,,
RILYI,,,,,,,,,,,
RILYL,,,,,,,,,,,
RILYM,,,,,,,,,,,
RILYN,,,,,,,,,,,
RILYO,,,,,,,,,,,
RILYP,,,,,,,,,,,
RILYZ,,,,,,,,,,,
RING,-,-,-,-,-,-,0.50%,-,-,-,-
RIOT,12.59,-,849.50,-,0.00,-0.63,-,-54.00%,-30.30%,51.10%,2.00%
RIVE,,,,,,,,,,,
RKDA,2.41,-,-,-,0.28,-2.07,-,-188.00%,-248.50%,70.80%,12.19%
RLAY,4.15,-,-,-,0.00,-,-,-,-,-210.20%,3.00%
RLMD,4.21,-,-,-,0.00,-2.95,-,-35.80%,-,-180.20%,1.50%
RMBI,0.88,-,-,-,0.00,-0.40,1.46%,-2.60%,17.60%,185.80%,5.10%
RMBL,7.09,-,-,-,4.98,-21.94,-,-395.20%,-41.10%,108.70%,10.70%
RMBS,2.07,-,14.53,-,0.16,-0.36,-,-4.30%,-9.60%,27.90%,0.40%
RMCF,1.53,-,-,-,0.31,-0.69,-,-23.40%,5.30%,-91.70%,18.77%
RMGBU,-,-,-,-,-,-,-,-,-,-,-
RMNI,-,-,-,-,-,-0.25,-,8.00%,-8.70%,38.60%,1.50%
RMR,2.12,18.23,21.22,-,0.00,2.12,3.94%,9.70%,19.30%,-26.00%,1.10%
RMRM,-,-,-,-,-,-,3.79%,-,-,-,11.05%
RMTI,1.71,-,-,-,0.50,-0.43,-,-117.70%,-,16.90%,0.30%
RNA,2.98,-,-,-,0.00,-,-,-,28.60%,-164.10%,19.88%
RNDB,,,,,,,,,,,
RNDM,-,-,-,-,-,-,1.75%,-,-,-,-
RNDV,-,-,-,-,-,-,2.93%,-,-,-,-
RNEM,,,,,,,,,,,
RNET,19.00,-,-,-,15.35,-1.82,-,-181.70%,-8.30%,-891.50%,1.80%
RNLC,-,-,-,-,-,-,1.68%,-,-,-,-
RNLX,6.27,-,-,-,0.02,-,-,-,-,81.90%,-
RNMC,-,-,-,-,-,-,1.39%,-,-,-,-
RNSC,-,-,-,-,-,-,1.37%,-,-,-,-
RNST,0.90,21.13,16.31,2.11,0.15,1.59,2.61%,4.30%,16.50%,-17.30%,0.80%
RNWK,1.64,-,-,-,0.17,-0.45,-,-44.60%,-67.00%,38.20%,1.10%
ROAD,3.89,37.32,27.86,5.33,0.24,0.78,-,11.10%,8.90%,5.60%,0.60%
ROBT,-,-,-,-,-,-,0.10%,-,-,-,-
ROCCU,-,-,-,-,-,0.00,-,-,-,-,18.80%
ROCH,,,,,,,,,,,
ROCHU,,,,,,,,,,,
ROCHW,,,,,,,,,,,
ROCK,3.15,27.07,20.60,1.35,0.00,2.66,-,12.50%,10.10%,37.10%,0.20%
ROIC,1.32,48.34,53.13,6.04,1.21,0.28,-,2.80%,4.50%,-61.10%,2.49%
ROKU,34.30,-,-,-,0.08,-0.84,-,-11.20%,-8.00%,143.90%,0.10%
ROLL,3.79,41.59,42.50,3.78,0.02,4.31,-,9.50%,11.30%,-34.80%,1.80%
ROOT,-,-,-,-,-,-,-,-,143.10%,-,48.00%
ROST,14.33,146.20,27.01,33.96,0.00,0.84,-,10.10%,44.70%,-64.10%,0.20%
RP,5.46,161.86,40.43,6.71,0.79,0.54,-,3.90%,3.80%,31.10%,2.10%
RPAY,3.03,-,44.82,-,0.50,-0.74,-,-,-9.20%,86.30%,6.00%
RPD,54.31,-,609.19,-,4.37,-1.67,-,-100.50%,-17.20%,-69.40%,2.30%
RPRX,4.16,-,18.50,-,1.31,-,1.20%,-,21.30%,208.30%,17.50%
RPTX,4.19,-,-,-,0.00,-,-,-,-,-106.00%,1.90%
RRBI,1.31,13.19,14.64,-,0.00,3.76,0.48%,10.40%,22.30%,6.40%,9.60%
RRGB,1.95,-,-,-,1.50,-18.60,-,-114.20%,0.20%,-183.00%,0.10%
RRR,5.53,-,23.25,-,9.36,-2.56,1.60%,-48.60%,4.70%,351.00%,9.31%
RSSS,12.26,-,-,-,0.00,-0.03,-,-13.00%,-17.50%,112.30%,32.40%
RSVAU,,,,,,,,,,,
RTH,-,-,-,-,-,-,0.69%,-,-,-,-
RTLR,1.04,11.86,9.19,0.30,1.44,0.80,8.44%,6.10%,16.60%,-23.20%,0.20%
RUBY,3.55,-,-,-,0.00,-2.14,-,-77.30%,-,14.90%,7.99%
RUHN,1.50,-,18.25,-,0.00,-0.19,-,-9.00%,-10.50%,38.90%,18.21%
RUN,8.39,2238.06,125.23,109.02,2.42,0.03,-,0.90%,-6.40%,20.20%,2.80%
RUSHA,2.79,26.88,18.21,-,1.05,1.54,1.35%,8.20%,5.90%,-42.60%,1.40%
RUSHB,,,,,,,,,,,
RUTH,5.81,-,30.57,-,1.29,-0.38,-,-12.90%,28.00%,-199.80%,3.10%
RVMD,5.09,-,-,-,0.00,-1.57,-,-34.60%,32.60%,48.50%,0.40%
RVNC,4.60,-,-,-,0.48,-4.60,-,-85.70%,-72.90%,-40.40%,1.60%
RVPH,0.80,-,-,-,0.05,-0.24,-,-1.50%,-,-278.70%,86.93%
RVPHW,,,,,,,,,,,
RVSB,0.79,11.82,14.61,0.99,0.00,0.45,3.80%,6.80%,23.00%,-42.80%,4.80%
RWLK,1.48,-,-,-,0.21,-1.26,-,-103.60%,-79.40%,62.00%,7.62%
RXT,2.56,-,17.03,-,2.80,-1.22,-,-,2.60%,-78.30%,1.00%
RYAAY,3.98,-,38.66,-,1.12,-5.09,-,-17.60%,12.10%,-125.30%,9.10%
RYTM,6.67,-,-,-,0.00,-3.03,-,-55.20%,-,26.50%,0.10%
RZLT,,,,,,,,,,,
SABR,5.56,-,-,-,7.39,-3.31,-,-184.60%,7.70%,-557.50%,0.60%
SABRP,,,,,,,,,,,
SAFM,2.04,-,24.76,-,0.02,-1.03,1.33%,2.00%,-1.20%,217.80%,4.90%
SAFT,1.39,10.48,17.31,0.70,0.04,7.43,4.62%,14.00%,12.10%,192.90%,0.40%
SAGE,6.84,-,-,-,0.00,-10.35,-,-67.40%,-75.00%,41.60%,1.80%
SAIA,5.15,40.17,28.88,2.17,0.13,4.50,-,13.80%,12.60%,25.30%,0.30%
SAII,-,-,-,-,-,-,-,-,-,-,-
SAIIU,,,,,,,,,,,
SAIIW,,,,,,,,,,,
SAL,0.85,8.72,9.58,-,0.10,4.27,3.11%,9.40%,24.50%,45.20%,0.10%
SALM,0.21,-,-,-,1.75,-2.32,-,-42.20%,-2.50%,101.60%,47.39%
SAMG,1.91,12.41,9.00,1.22,0.20,1.12,4.61%,15.40%,16.80%,-27.80%,20.56%
SANM,1.31,16.01,8.99,-,0.21,1.99,-,8.50%,8.40%,175.20%,1.80%
SANW,1.31,-,-,-,0.62,-0.66,-,-26.50%,-13.90%,-44.90%,1.40%
SASR,1.06,18.70,9.76,5.20,0.16,1.72,3.73%,5.40%,16.70%,15.60%,0.60%
SATS,0.58,-,172.28,-,0.67,-0.88,-,-2.60%,0.90%,224.50%,0.10%
SAVA,7.10,-,42.63,-,0.00,-0.23,-,-22.00%,-,-41.00%,5.80%
SBAC,-,-,98.58,-,-,-0.15,0.66%,0.30%,8.10%,5.50%,0.10%
SBBP,1.83,-,-,-,0.00,-0.77,-,-65.80%,-95.40%,77.90%,0.90%
SBCF,1.45,20.71,17.16,2.30,0.06,1.42,-,7.40%,19.20%,-15.50%,1.30%
SBFG,0.98,11.09,12.61,-,0.07,1.65,2.30%,9.20%,21.40%,54.00%,1.60%
SBGI,-,-,27.27,-,-,-38.59,2.51%,-400.70%,4.00%,-,1.30%
SBLK,0.56,160.55,6.73,-,1.07,0.06,2.27%,0.40%,2.20%,157.60%,19.80%
SBLKZ,,,,,,,,,,,
SBNY,1.43,14.28,11.63,2.26,0.09,9.48,1.66%,10.40%,21.00%,-5.00%,1.30%
SBNYP,-,-,-,-,-,-,-,-,-,-6.50%,-
SBRA,1.06,25.14,24.26,4.19,0.72,0.69,6.91%,4.10%,1.20%,45.40%,0.80%
SBSI,1.22,14.80,13.67,7.40,0.19,2.10,4.13%,8.60%,15.70%,40.10%,1.80%
SBT,0.68,-,26.71,-,0.20,-0.30,0.88%,-4.50%,26.50%,-100.80%,0.10%
SBTX,-,-,-,-,-,-0.81,-,-,-,-,2.80%
SBUX,-,138.22,31.41,2.78,-,0.77,1.68%,-12.10%,15.50%,-50.00%,0.10%
SCHL,0.75,-,16.89,-,0.19,-1.78,2.40%,-3.70%,-3.00%,30.80%,3.10%
SCHN,1.31,-,18.16,-,0.15,-0.15,2.35%,-0.60%,0.90%,-64.70%,6.20%
SCKT,1.63,-,-,-,0.28,-0.80,-,-40.00%,2.60%,-,4.20%
SCOAU,,,,,,,,,,,
SCOR,0.76,-,-,-,0.00,-0.80,-,-22.90%,-67.30%,5.10%,1.70%
SCPH,1.61,-,-,-,0.00,-1.62,-,-47.90%,-,0.90%,0.10%
SCPL,4.30,15.74,13.84,0.96,0.00,0.88,-,33.10%,175.60%,159.00%,0.40%
SCPS,-,-,-,-,0.00,-0.10,-,-,-,-,1.40%
SCSC,1.00,-,9.91,-,0.22,-3.61,-,-,-8.10%,-100.90%,1.40%
SCVL,1.82,47.55,11.33,4.75,0.00,0.82,0.92%,4.10%,14.20%,9.20%,2.70%
SCWX,1.74,-,65.83,-,0.00,-0.22,-,-2.60%,-4.90%,54.90%,5.50%
SCYX,8.50,-,-,-,1.39,-3.48,-,-305.70%,-204.80%,104.80%,0.20%
SCZ,-,-,-,-,-,-,3.15%,-,-,-,-
SDC,4.25,-,-,-,1.32,-0.50,-,-29.60%,-96.40%,51.20%,0.70%
SDG,-,-,-,-,-,-,0.95%,-,-,-,-
SDGR,8.33,-,1979.50,-,0.00,-0.45,-,-7.10%,41.10%,128.30%,22.80%
SDVY,-,-,-,-,-,-,1.56%,-,-,-,-
SEAC,1.51,-,-,-,0.07,-0.47,-,-41.30%,-17.90%,-339.80%,2.70%
SECO,0.35,12.50,-,-,0.61,0.18,-,3.70%,6.20%,-84.80%,-
SEDG,15.63,95.49,68.76,4.77,0.57,3.34,-,19.30%,18.70%,1.00%,1.50%
SEED,-,-,-,-,-,-2.04,-,639.60%,-109.70%,98.60%,38.70%
SEEL,11.29,-,-,-,0.00,-0.71,-,-543.50%,-,34.70%,13.38%
SEER,-,-,-,-,-,-0.28,-,-,83.20%,-,3.00%
SEIC,4.85,19.33,16.99,1.61,0.00,2.97,1.29%,26.10%,18.90%,-12.40%,7.70%
SELB,-,-,-,-,-,-0.83,-,-,-192.10%,64.30%,7.20%
SELF,0.92,-,-,-,0.59,0.00,6.48%,-0.10%,2.10%,11.40%,4.90%
SENEA,0.84,4.38,-,-,0.46,9.12,-,20.30%,8.50%,298.40%,0.80%
SENEB,,,,,,,,,,,
SESN,-,-,-,-,-,-0.38,-,-491.50%,-,-47.90%,0.06%
SFBC,0.99,11.25,-,-,0.14,2.82,1.89%,9.20%,32.70%,50.20%,0.70%
SFBS,2.29,13.68,14.05,-,0.07,2.95,1.99%,17.80%,25.10%,15.10%,4.90%
SFET,0.24,-,-,-,-,-2.84,-,-,-,-,0.13%
SFIX,14.25,-,-,-,0.00,-0.59,-,-13.60%,-18.50%,-,0.90%
SFM,2.93,9.47,11.47,0.70,0.35,2.12,-,35.80%,15.10%,128.90%,0.20%
SFNC,0.80,9.35,12.98,1.87,0.14,2.31,3.15%,8.70%,14.60%,-28.50%,1.30%
SFST,1.25,16.33,11.14,2.04,0.16,2.17,-,8.00%,23.70%,-70.20%,2.60%
SFT,0.32,-,-,-,0.00,-0.49,-,-1.70%,-,-,23.20%
SFTTW,,,,,,,,,,,
SG,0.99,-,17.86,-,0.48,-2.91,-,-22.00%,-4.70%,-,96.53%
SGA,0.75,-,-,-,0.00,-0.06,-,-0.20%,6.60%,-128.20%,1.60%
SGAM,-,-,-,-,-,-,-,-,-,-,-
SGAMU,-,-,-,-,-,-,-,-,-,-,-
SGAMW,,,,,,,,,,,
SGBX,2.75,-,-,-,0.00,-9.75,-,-60.80%,-152.40%,96.30%,6.80%
SGC,1.91,11.33,18.30,-,0.42,2.05,1.72%,18.70%,5.90%,146.40%,7.30%
SGEN,13.53,68.71,3368.08,-,0.00,2.55,-,24.50%,-11.80%,739.70%,0.70%
SGH,3.24,-,9.61,-,0.69,-0.05,-,-0.40%,5.00%,30.90%,2.90%
SGLB,2.60,-,-,-,0.00,-3.38,-,-242.40%,-798.00%,66.40%,0.70%
SGLBW,,,,,,,,,,,
SGMA,0.34,-,-,-,0.77,-0.20,-,-1.50%,2.10%,-4.70%,2.50%
SGMO,4.22,-,-,-,0.00,-0.60,-,-16.30%,-24.30%,95.30%,0.20%
SGMS,-,-,768.33,-,-,-5.52,-,21.00%,6.90%,-926.90%,0.50%
SGOC,1.01,-,-,-,0.05,-0.25,-,-15.80%,-29.20%,65.80%,56.30%
SGRP,1.28,33.82,-,-,0.71,0.03,-,3.90%,22.60%,25.60%,1.60%
SGRY,14.01,-,-,-,27.89,-3.93,-,-85.50%,7.80%,-185.30%,0.30%
SGTX,-,-,-,-,-,-1.82,-,-,70.50%,29.80%,16.50%
SHBI,0.92,11.54,16.31,1.15,0.12,1.27,3.29%,8.10%,22.70%,-17.70%,0.30%
SHC,-,-,10.92,-,-,-0.08,-,-,6.10%,-99.90%,0.90%
SHEN,3.94,149.14,26.13,6.11,1.27,0.29,0.79%,18.00%,6.80%,20.90%,0.60%
SHIP,0.29,0.58,-,-,2.06,0.93,-,-26.40%,5.30%,-91.80%,59.60%
SHIPW,,,,,,,,,,,
SHIPZ,,,,,,,,,,,
SHLD,,,,,,,,,,,
SHOO,3.67,-,21.50,-,0.00,-0.31,-,-3.00%,16.60%,-114.00%,1.40%
SHSP,7.08,-,-,-,0.20,-0.55,-,-22.40%,-43.20%,42.20%,2.90%
SHV,-,-,-,-,-,-,0.90%,-,-,-,-
SHY,-,-,-,-,-,-,1.18%,-,-,-,-
SHYF,5.05,23.04,18.15,1.54,0.31,1.23,0.35%,-,13.80%,45.80%,0.40%
SIBN,8.42,-,-,-,0.39,-1.60,-,-45.00%,-,27.60%,1.90%
SIC,1.16,-,16.25,-,1.07,-0.14,-,-2.20%,5.10%,-78.90%,4.70%
SIEB,3.56,48.84,-,-,7.65,0.09,-,7.40%,8.90%,-52.60%,3.40%
SIEN,10.81,-,-,-,3.56,-1.78,-,-201.10%,-81.80%,74.60%,1.70%
SIFY,1.41,25.40,15.87,-,-,0.05,-,-,7.00%,-19.90%,27.10%
SIGA,5.01,18.00,-,18.00,0.00,0.40,-,32.20%,0.30%,-,0.50%
SIGI,1.69,20.10,15.59,10.69,0.30,3.33,1.49%,9.00%,11.10%,23.50%,1.00%
SIGIP,-,-,-,-,-,-,-,-,-,24.40%,-
SILC,1.88,41.68,22.00,2.78,0.00,1.00,-,4.60%,5.30%,17.30%,43.00%
SILK,17.74,-,-,-,0.38,-1.21,-,-40.70%,-24.00%,-17.40%,2.30%
SIMO,2.80,16.26,15.39,2.32,0.00,2.96,2.91%,18.10%,10.60%,484.10%,7.40%
SINA,1.13,-,14.95,-,0.79,-1.43,-,-3.80%,-2.60%,-155.00%,9.30%
SINO,0.69,-,-,-,0.03,-3.11,-,-81.80%,-275.80%,296.60%,22.00%
SINT,1.30,-,-,-,0.01,-2.22,-,-100.40%,-126.80%,86.90%,1.54%
SIOX,1.87,-,-,-,0.00,-1.57,-,-101.10%,-,64.90%,0.10%
SIRI,-,26.99,23.33,1.75,-,0.24,0.94%,-137.30%,18.40%,15.10%,0.30%
SITM,18.32,-,143.13,-,0.00,-0.68,-,-13.30%,-4.70%,-155.10%,8.30%
SIVB,2.69,18.92,22.29,2.37,0.11,20.50,-,15.60%,24.20%,64.30%,0.20%
SIVBP,,,,,,,,,,,
SJ,4.12,8.84,-,-,0.00,0.98,-,166.00%,-,59.10%,92.31%
SKOR,-,-,-,-,-,-,2.48%,-,-,-,-
SKYW,0.93,18.55,59.28,-,1.40,2.17,-,5.10%,7.90%,-62.80%,2.72%
SKYY,-,-,-,-,-,-,0.19%,-,-,-,-
SLAB,4.77,428.75,37.46,28.58,0.00,0.30,-,1.20%,1.80%,-84.20%,1.90%
SLCT,0.79,23.68,17.97,-,0.18,0.40,-,3.40%,15.80%,-19.00%,1.90%
SLDB,16.48,-,-,-,0.04,-2.05,-,-198.10%,-,34.60%,23.60%
SLGG,2.25,-,-,-,0.00,-1.98,-,-154.30%,-155.00%,30.90%,3.10%
SLGL,3.93,-,-,-,0.00,-1.37,-,-48.50%,-49.50%,2.00%,73.28%
SLGN,3.37,14.58,12.07,1.62,2.83,2.54,1.29%,26.10%,9.20%,38.70%,8.20%
SLM,2.58,8.81,7.75,0.44,2.75,1.41,0.97%,28.70%,15.20%,53.70%,0.30%
SLMBP,,,,,,,,,,,
SLN,,,,,,,,,,,
SLNO,3.22,-,-,-,0.00,-0.75,-,-113.20%,-,-484.00%,1.60%
SLP,8.43,142.98,104.23,9.53,0.00,0.50,0.33%,13.20%,6.00%,1.00%,23.60%
SLQD,-,-,-,-,-,-,2.45%,-,-,-,-
SLRC,0.87,-,11.15,-,-,-0.12,9.37%,-,-,35.70%,6.70%
SLRX,0.79,-,-,-,0.04,-0.91,-,-45.20%,-74.50%,86.90%,0.60%
SLS,6.18,-,-,-,0.00,-3.39,-,-317.40%,-,80.20%,1.98%
SLVO,-,-,-,-,-,-,20.82%,-,-,-,-
SMBC,1.07,9.40,10.15,-,0.06,3.24,1.97%,11.70%,26.10%,28.70%,0.70%
SMBK,0.79,12.14,12.62,-,0.11,1.49,1.10%,6.60%,21.10%,-1.60%,0.40%
SMCI,1.54,20.04,9.65,2.00,0.03,1.58,-,8.10%,7.60%,-4.10%,13.90%
SMCP,-,-,-,-,-,-,0.65%,-,-,-,-
SMED,5.22,126.00,82.17,5.60,0.19,0.08,-,4.50%,7.20%,-142.10%,12.30%
SMH,-,-,-,-,-,-,1.00%,-,-,-,-
SMID,,,,,,,,,,,
SMIT,1.67,-,-,-,0.20,-0.36,-,30.70%,-18.20%,178.00%,5.20%
SMMC,,,,,,,,,,,
SMMCU,27.22,-,-,-,-,-,-,-,-,-,25.00%
SMMCW,,,,,,,,,,,
SMMF,1.05,9.68,9.54,1.21,0.18,2.28,3.08%,11.20%,25.40%,14.90%,3.80%
SMMT,8.58,-,-,-,-,-0.26,-,-,-,-,73.57%
SMPL,2.43,91.16,28.74,15.19,0.48,0.34,-,2.90%,3.50%,78.30%,2.00%
SMSI,3.90,31.70,22.58,2.95,0.00,0.17,-,13.40%,20.60%,-95.80%,12.00%
SMTC,6.95,119.35,33.05,5.97,0.00,0.60,-,5.90%,4.40%,34.80%,0.70%
SMTI,,,,,,,,,,,
SMTX,3.14,36.47,10.33,1.82,1.79,0.14,-,9.30%,3.80%,120.50%,0.90%
SNBR,-,23.25,19.96,1.26,-,3.52,-,-70.10%,130.50%,90.40%,2.20%
SNCA,1.07,-,-,-,0.00,-1.64,-,-122.20%,-,77.40%,0.82%
SNCR,3.73,-,-,-,0.19,-1.26,-,-81.90%,-143.60%,78.60%,0.90%
SND,0.24,1.62,-,-,0.10,1.06,-,16.80%,12.50%,234.30%,2.70%
SNDE,0.03,-,-,-,1.00,-5.76,-,-10.80%,-0.20%,-31.50%,0.49%
SNDL,1.15,-,-,-,1.71,-1.49,-,-154.20%,-54.70%,16.50%,1.63%
SNDX,7.44,-,-,-,0.15,-1.88,-,-77.50%,-182.10%,-14.10%,0.20%
SNES,1.88,-,-,-,0.26,-4.82,-,-286.40%,-367.40%,69.50%,1.93%
SNEX,1.42,6.72,6.82,0.35,7.01,8.61,-,24.40%,2.80%,178.30%,4.50%
SNFCA,0.62,3.08,-,-,1.66,2.72,-,24.60%,5.90%,682.60%,1.30%
SNGX,5.12,-,-,-,0.07,-0.63,-,-326.40%,-662.00%,55.30%,3.85%
SNGXW,,,,,,,,,,,
SNLN,-,-,-,-,-,-,3.43%,-,-,-,-
SNOA,1.26,-,-,-,0.11,-1.79,-,-19.90%,-73.80%,107.20%,1.07%
SNPS,8.05,60.85,36.44,5.29,0.03,4.26,-,14.80%,12.80%,21.00%,0.30%
SNRHU,-,-,-,-,-,-,-,-,-,-,-
SNSR,-,-,-,-,-,-,0.63%,-,-,-,-
SNSS,1.67,-,-,-,0.00,-1.86,-,-179.10%,-109.80%,48.50%,0.11%
SNUG,-,-,-,-,-,-,-,-,-,-,-
SNY,1.85,8.95,12.85,1.19,-,5.43,3.50%,-,3.50%,4.30%,16.40%
SOCL,-,-,-,-,-,-,-,-,-,-,-
SOHO,0.59,-,-,-,6.01,-3.31,-,-58.70%,3.80%,-,6.80%
SOHOB,,,,,,,,,,,
SOHON,,,,,,,,,,,
SOHOO,,,,,,,,,,,
SOHU,2.20,-,21.31,-,0.68,-2.50,-,-42.60%,-5.70%,54.40%,27.99%
SOLO,5.16,-,-,-,0.01,-0.59,-,-74.30%,-132.40%,-47.50%,-
SOLOW,,,,,,,,,,,
SOLY,4.68,-,-,-,0.00,-0.75,-,-59.10%,-,36.50%,52.52%
SONA,0.76,12.65,12.45,-,1.03,0.96,3.30%,6.10%,17.80%,8.20%,1.60%
SONM,1.39,-,-,-,0.01,-1.14,-,-104.40%,-66.60%,70.50%,2.80%
SONN,11.15,-,-,-,0.03,-27.55,-,-,-,68.40%,5.10%
SONO,8.73,-,26.95,-,0.08,-0.24,-,-6.60%,-8.40%,159.90%,0.60%
SOXX,-,-,-,-,-,-,0.87%,-,-,-,-
SP,3.39,-,19.64,-,2.07,-7.82,-,-58.40%,9.50%,-749.70%,0.50%
SPCB,1.98,-,-,-,1.76,-0.73,-,-,-35.90%,-,16.80%
SPFI,0.97,8.77,8.92,-,0.35,2.16,1.06%,12.00%,23.80%,104.60%,40.57%
SPI,-,-,-,-,-,-0.33,-,108.80%,-15.90%,152.70%,41.16%
SPKE,2.18,8.33,-,-,0.00,1.15,7.52%,30.00%,12.40%,-43.90%,0.30%
SPKEP,,,,,,,,,,,
SPLK,16.94,-,-,-,1.41,-4.99,-,-44.60%,-7.90%,-232.00%,0.50%
SPNE,2.69,-,-,-,0.03,-1.67,-,-25.20%,-36.00%,52.90%,4.10%
SPNS,6.12,48.59,29.69,3.68,0.47,0.63,0.46%,13.70%,10.00%,23.90%,71.60%
SPOK,0.85,-,-,-,0.00,-0.38,4.49%,-2.90%,-5.30%,337.20%,1.80%
SPPI,2.66,-,-,-,0.00,-1.38,-,-99.70%,-,57.20%,1.00%
SPQQ,,,,,,,,,,,
SPRB,-,-,-,-,-,-,-,-,-,-,21.50%
SPRO,3.20,-,-,-,0.00,-4.21,-,-93.20%,-84.70%,9.10%,0.30%
SPRT,1.25,73.33,-,7.33,0.00,0.03,-,1.70%,8.40%,-134.40%,8.50%
SPSC,9.70,95.00,68.17,6.33,0.00,1.14,-,11.20%,8.50%,26.10%,0.80%
SPT,15.04,-,-,-,0.00,-1.17,-,-38.80%,-37.00%,-4.50%,1.80%
SPTN,0.84,9.00,8.45,0.44,0.75,1.93,4.42%,-,4.30%,-,1.00%
SPWH,4.40,10.91,15.52,0.53,0.16,1.61,-,53.30%,10.40%,184.30%,1.60%
SPWR,-,24.82,78.65,-,-,1.03,-,588.50%,-12.60%,336.30%,0.60%
SQBG,0.79,-,-,-,15.16,-56.08,-,-196.50%,2.80%,123.90%,0.30%
SQFT,-,-,-,-,3.71,-0.52,4.72%,-13.10%,2.60%,-188.20%,1.40%
SQLV,-,-,-,-,-,-,1.18%,-,-,-,-
SQQQ,-,-,-,-,-,-,3.62%,-,-,-,-
SRAC,2.37,-,-,-,0.00,-,-,-,-,-,83.22%
SRACU,3333.33,-,-,-,-,-,-,-,-,-,2.78%
SRACW,,,,,,,,,,,
SRAX,2.51,-,-,-,0.42,-1.46,-,-137.10%,-142.90%,-516.60%,16.26%
SRCE,1.17,13.45,14.43,1.35,0.16,3.00,2.78%,8.90%,19.70%,-18.10%,0.30%
SRCL,2.72,-,27.33,-,0.86,-4.00,-,-14.10%,-4.40%,-36.60%,0.30%
SRDX,4.48,565.19,170.67,56.52,0.00,0.08,-,0.90%,1.00%,-184.80%,2.90%
SRET,-,-,-,-,-,-,12.26%,-,-,-,-
SREV,2.23,-,-,-,0.21,-0.20,-,-23.70%,-19.40%,-23.40%,2.30%
SRGA,1.45,-,-,-,0.00,-3.67,-,135.40%,-95.40%,-55.50%,1.20%
SRNE,8.32,-,1.98,-,0.82,-1.46,-,-221.90%,-91.30%,32.10%,15.71%
SRPT,15.01,-,-,-,0.79,-7.83,-,-61.60%,-47.10%,-47.00%,4.10%
SRRA,1.59,-,-,-,0.00,-13.95,-,-100.80%,-,79.90%,0.10%
SRRK,23.00,-,-,-,0.00,-2.41,-,-80.20%,-48.30%,-43.20%,13.01%
SRSA,,,,,,,,,,,
SRSAU,-,-,-,-,-,-,-,-,-,-,0.03%
SRSAW,,,,,,,,,,,
SRTS,3.11,-,-,-,0.05,-0.41,-,-28.70%,-7.00%,-130.90%,31.11%
SSB,1.12,47.04,13.50,3.92,0.24,1.54,2.60%,2.40%,16.10%,-10.90%,0.60%
SSBI,1.11,8.69,-,-,0.08,1.55,3.56%,13.40%,23.10%,44.50%,3.90%
SSKN,1.95,-,-,-,0.38,-0.13,-,-16.40%,-9.10%,-42.10%,0.20%
SSNC,3.47,33.93,16.51,1.88,1.27,2.14,0.77%,10.90%,6.60%,65.30%,0.10%
SSNT,1.48,-,-,-,0.16,-0.03,-,-13.40%,-13.80%,105.60%,10.00%
SSP,1.35,25.15,36.40,2.51,2.07,0.61,1.31%,4.00%,2.40%,460.20%,10.30%
SSPK,1.62,-,-,-,0.00,-0.03,-,-0.40%,-,-57.50%,7.60%
SSPKU,,,,,,,,,,,
SSPKW,,,,,,,,,,,
SSRM,0.83,42.34,9.07,-,0.16,0.48,-,3.80%,5.80%,4.50%,3.30%
SSSS,0.92,23.63,6.71,-,0.68,0.55,6.65%,8.00%,-3.00%,225.10%,16.50%
SSTI,14.01,159.75,161.80,-,0.00,0.24,-,9.70%,6.00%,29.00%,5.80%
SSYS,1.59,-,283.84,-,0.00,-8.31,-,-44.30%,-1.30%,-,5.97%
STAA,19.51,421.38,226.99,14.05,0.01,0.19,-,5.20%,7.90%,58.50%,0.60%
